陰德克斯,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額,week,Month
0,英國,居禮夫人：放射永恆,2020/04/17,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,Studiocanal,25,"1,669",1.27%,"372,794","3,317","740,078",20200420,4
1,英國,居禮夫人：放射永恆,2020/04/17,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,Studiocanal,26,656,-60.70%,"149,504","3,973","889,582",20200427,4
2,英國,居禮夫人：放射永恆,2020/04/17,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,Studiocanal,16,243,-62.96%,"54,470","4,216","944,052",20200504,5
3,英國,居禮夫人：放射永恆,2020/04/17,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,Studiocanal,10,148,-39.09%,"32,545","4,364","976,597",20200511,5
4,英國,居禮夫人：放射永恆,2020/04/17,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,Studiocanal,3,20,-86.49%,"4,190","4,384","980,787",20200518,5
5,英國,居禮夫人：放射永恆,2020/04/17,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,Studiocanal,2,172,0.00%,"9,190","4,556","989,977",20200615,6
6,英國,居禮夫人：放射永恆,2020/04/17,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,Studiocanal,2,229,33.14%,"12,230","4,785","1,002,207",20200622,6
7,英國,居禮夫人：放射永恆,2020/04/17,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,Studiocanal,3,100,-56.33%,"7,190","4,885","1,009,397",20200629,6
8,英國,居禮夫人：放射永恆,2020/04/17,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,Studiocanal,3,73,-27.00%,"9,420","4,958","1,018,817",20200706,7
9,英國,居禮夫人：放射永恆,2020/04/17,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,Studiocanal,2,40,-45.21%,"5,900","4,998","1,024,717",20200713,7
10,英國,居禮夫人：放射永恆,2020/04/17,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,Studiocanal,2,35,-12.50%,"5,280","5,033","1,029,997",20200720,7
11,英國,居禮夫人：放射永恆,2020/04/17,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,Studiocanal,2,26,-25.71%,"3,840","5,059","1,033,837",20200727,7
12,英國,居禮夫人：放射永恆,2020/04/17,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,Studiocanal,1,12,-53.85%,"1,680","5,071","1,035,517",20200803,8
13,英國,居禮夫人：放射永恆,2020/04/17,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,Studiocanal,1,36,0.00%,"2,880","5,107","1,038,397",20200817,8
14,英國,居禮夫人：放射永恆,2020/04/17,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,Studiocanal,1,76,111.11%,"5,980","5,183","1,044,377",20200824,8
15,英國,居禮夫人：放射永恆,2020/04/17,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,Studiocanal,1,74,-2.63%,"6,480","5,257","1,050,857",20200831,8
16,英國,居禮夫人：放射永恆,2020/4/17,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,Studiocanal,1,34,-54.05%,"3,080","5,291","1,053,937",20200907,9
