陰德克斯,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額,week,Month
0,日本,劇場版 白箱,2020/05/08,車庫娛樂股份有限公司,HAKUHODO DY MUSIC & PICTURES INC.,22,"3,221",10.01%,"802,631","6,149","1,535,248",20200511,5
1,日本,劇場版 白箱,2020/05/08,車庫娛樂股份有限公司,HAKUHODO DY MUSIC & PICTURES INC.,21,"1,242",-61.44%,"314,107","7,391","1,849,355",20200518,5
2,日本,劇場版 白箱,2020/05/08,車庫娛樂股份有限公司,HAKUHODO DY MUSIC & PICTURES INC.,16,657,-47.10%,"169,649","8,048","2,019,004",20200525,5
3,日本,劇場版 白箱,2020/05/08,車庫娛樂股份有限公司,HAKUHODO DY MUSIC & PICTURES INC.,11,339,-48.40%,"87,493","8,387","2,106,497",20200601,6
4,日本,劇場版 白箱,2020/05/08,車庫娛樂股份有限公司,HAKUHODO DY MUSIC & PICTURES INC.,8,165,-51.33%,"41,472","8,552","2,147,969",20200608,6
5,日本,劇場版 白箱,2020/05/08,車庫娛樂股份有限公司,HAKUHODO DY MUSIC & PICTURES INC.,5,65,-60.61%,"16,305","8,617","2,164,274",20200615,6
