陰德克斯,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額,week,Month
0,日本,我的英雄學院劇場版：英雄新世紀,2020/04/01,薩摩亞商羚邦(亞洲)有限公司台灣分公司,"Toho Co., Ltd.",68,"13,632",-41.27%,"3,211,734","36,845","8,666,348",20200406,4
1,日本,我的英雄學院劇場版：英雄新世紀,2020/04/01,薩摩亞商羚邦(亞洲)有限公司台灣分公司,"Toho Co., Ltd.",68,"9,741",-28.54%,"2,482,357","46,586","11,148,705",20200413,4
2,日本,我的英雄學院劇場版：英雄新世紀,2020/04/01,薩摩亞商羚邦(亞洲)有限公司台灣分公司,"Toho Co., Ltd.",67,"4,833",-50.51%,"1,294,787","51,444","12,448,997",20200420,4
3,日本,我的英雄學院劇場版：英雄新世紀,2020/04/01,薩摩亞商羚邦(亞洲)有限公司台灣分公司,"Toho Co., Ltd.",66,"3,147",-34.89%,"840,504","54,591","13,289,501",20200427,4
4,日本,我的英雄學院劇場版：英雄新世紀,2020/04/01,薩摩亞商羚邦(亞洲)有限公司台灣分公司,"Toho Co., Ltd.",54,"1,961",-37.69%,"506,265","56,552","13,795,766",20200504,5
5,日本,我的英雄學院劇場版：英雄新世紀,2020/04/01,薩摩亞商羚邦(亞洲)有限公司台灣分公司,"Toho Co., Ltd.",46,"1,853",-5.51%,"478,058","58,405","14,273,824",20200511,5
6,日本,我的英雄學院劇場版：英雄新世紀,2020/04/01,薩摩亞商羚邦(亞洲)有限公司台灣分公司,"Toho Co., Ltd.",30,"1,225",-33.89%,"306,856","59,630","14,580,680",20200518,5
7,日本,我的英雄學院劇場版：英雄新世紀,2020/04/01,薩摩亞商羚邦(亞洲)有限公司台灣分公司,"Toho Co., Ltd.",18,795,-35.10%,"196,943","60,425","14,777,623",20200525,5
8,日本,我的英雄學院劇場版：英雄新世紀,2020/04/01,薩摩亞商羚邦(亞洲)有限公司台灣分公司,"Toho Co., Ltd.",15,759,-4.53%,"187,173","61,184","14,964,796",20200601,6
9,日本,我的英雄學院劇場版：英雄新世紀,2020/04/01,薩摩亞商羚邦(亞洲)有限公司台灣分公司,"Toho Co., Ltd.",11,504,-33.60%,"125,497","61,688","15,090,293",20200608,6
10,日本,我的英雄學院劇場版：英雄新世紀,2020/04/01,薩摩亞商羚邦(亞洲)有限公司台灣分公司,"Toho Co., Ltd.",14,932,84.92%,"235,378","62,620","15,325,671",20200615,6
11,日本,我的英雄學院劇場版：英雄新世紀,2020/04/01,薩摩亞商羚邦(亞洲)有限公司台灣分公司,"Toho Co., Ltd.",11,"1,172",25.75%,"292,265","63,792","15,617,936",20200622,6
12,日本,我的英雄學院劇場版：英雄新世紀,2020/04/01,薩摩亞商羚邦(亞洲)有限公司台灣分公司,"Toho Co., Ltd.",10,601,-48.72%,"148,877","64,393","15,766,813",20200629,6
13,日本,我的英雄學院劇場版：英雄新世紀,2020/04/01,薩摩亞商羚邦(亞洲)有限公司台灣分公司,"Toho Co., Ltd.",8,346,-42.43%,"86,056","64,739","15,852,869",20200706,7
14,日本,我的英雄學院劇場版：英雄新世紀,2020/04/01,薩摩亞商羚邦(亞洲)有限公司台灣分公司,"Toho Co., Ltd.",4,198,-42.77%,"48,700","64,937","15,901,569",20200713,7
15,日本,我的英雄學院劇場版：英雄新世紀,2020/04/01,薩摩亞商羚邦(亞洲)有限公司台灣分公司,"Toho Co., Ltd.",2,168,-15.15%,"38,240","65,105","15,939,809",20200720,7
16,日本,我的英雄學院劇場版：英雄新世紀,2020/04/01,薩摩亞商羚邦(亞洲)有限公司台灣分公司,"Toho Co., Ltd.",2,69,-58.93%,"16,995","65,174","15,956,804",20200727,7
17,日本,我的英雄學院劇場版：英雄新世紀,2020/04/01,薩摩亞商羚邦(亞洲)有限公司台灣分公司,"Toho Co., Ltd.",1,23,-66.67%,"5,880","65,197","15,962,684",20200803,8
18,日本,我的英雄學院劇場版：英雄新世紀,2020/04/01,薩摩亞商羚邦(亞洲)有限公司台灣分公司,"Toho Co., Ltd.",1,11,-52.17%,"2,910","65,208","15,965,594",20200810,8
