陰德克斯,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額,week,Month
0,美國,惡靈20,2020/01/10,華映娛樂股份有限公司,Hyde Park Entertainment LLC,35,"2,080",-15.24%,"474,455","4,534","1,028,543",20200113,1
1,美國,惡靈20,2020/01/10,華映娛樂股份有限公司,Hyde Park Entertainment LLC,25,254,-87.79%,"56,285","4,788","1,084,828",20200120,1
2,美國,惡靈20,2020/01/10,華映娛樂股份有限公司,Hyde Park Entertainment LLC,1,33,-87.01%,"6,270","4,821","1,091,098",20200127,1
3,美國,惡靈20,2020/01/10,華映娛樂股份有限公司,Hyde Park Entertainment LLC,1,2,-93.94%,380,"4,823","1,091,478",20200203,2
