陰德克斯,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額,week,Month
0,美國,奪命守門人,2020/10/16,薩摩亞商雄讚股份有限公司台灣分公司,Doorman INC.,90,"8,408",-31.61%,"1,859,181","20,703","4,630,210",20201019,10
1,美國,奪命守門人,2020/10/16,薩摩亞商雄讚股份有限公司台灣分公司,Doorman INC.,87,"1,737",-79.34%,"376,770","22,440","5,006,980",20201026,10
2,美國,奪命守門人,2020/10/16,薩摩亞商雄讚股份有限公司台灣分公司,Doorman INC.,15,91,-94.76%,"17,995","22,531","5,024,975",20201102,11
3,美國,奪命守門人,2020/10/16,薩摩亞商雄讚股份有限公司台灣分公司,Doorman INC.,2,6,-93.41%,"1,160","22,537","5,026,135",20201109,11
4,美國,奪命守門人,2020/10/16,薩摩亞商雄讚股份有限公司台灣分公司,Doorman INC.,2,85,0.00%,"11,330","22,622","5,037,465",20201123,11
5,美國,奪命守門人,2020/10/16,薩摩亞商雄讚股份有限公司台灣分公司,Doorman INC.,3,278,227.06%,"29,800","22,900","5,067,265",20201130,11
6,美國,奪命守門人,2020/10/16,薩摩亞商雄讚股份有限公司台灣分公司,Doorman INC.,6,533,91.73%,"40,815","23,433","5,108,080",20201207,12
7,美國,奪命守門人,2020/10/16,薩摩亞商雄讚股份有限公司台灣分公司,Doorman INC.,5,450,-15.57%,"33,960","23,883","5,142,040",20201214,12
8,美國,奪命守門人,2020/10/16,薩摩亞商雄讚股份有限公司台灣分公司,Doorman INC.,5,239,-46.89%,"19,860","24,122","5,161,900",20201221,12
9,美國,奪命守門人,2020/10/16,薩摩亞商雄讚股份有限公司台灣分公司,Doorman INC.,4,108,-54.81%,"10,260","24,230","5,172,160",20201228,12
