陰德克斯,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額,week,Month
0,南韓,長沙里之戰：被遺忘的英雄,2020/04/24,車庫娛樂股份有限公司,"FINECUT CO., LTD.",47,"2,499",-12.87%,"575,618","5,367","1,233,232",20200427,4
1,南韓,長沙里之戰：被遺忘的英雄,2020/04/24,車庫娛樂股份有限公司,"FINECUT CO., LTD.",42,639,-74.43%,"151,193","6,006","1,384,425",20200504,5
2,南韓,長沙里之戰：被遺忘的英雄,2020/04/24,車庫娛樂股份有限公司,"FINECUT CO., LTD.",20,240,-62.44%,"56,156","6,246","1,440,581",20200511,5
3,南韓,長沙里之戰：被遺忘的英雄,2020/04/24,車庫娛樂股份有限公司,"FINECUT CO., LTD.",4,24,-90.00%,"5,940","6,270","1,446,521",20200518,5
