陰德克斯,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額,week,Month
0,日本,《少女與戰車 最終章》第２話,2020/09/18,華藝娛樂股份有限公司,Hakuhodo DY music & pictures Inc.,16,796,-21.81%,"197,001","1,814","452,229",20200921,9
1,日本,《少女與戰車 最終章》第２話,2020/09/18,華藝娛樂股份有限公司,Hakuhodo DY music & pictures Inc.,14,207,-73.99%,"50,903","2,021","503,132",20200928,9
2,日本,《少女與戰車 最終章》第２話,2020/09/18,華藝娛樂股份有限公司,Hakuhodo DY music & pictures Inc.,8,22,-89.37%,"5,400","2,043","508,532",20201005,10
3,日本,《少女與戰車 最終章》第２話,2020/09/18,華藝娛樂股份有限公司,Hakuhodo DY music & pictures Inc.,1,1,-95.45%,220,"2,044","508,752",20201012,10
