陰德克斯,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額,week,Month
0,英國,玩命Online：雙槍對決,2020/06/24,捷傑有限公司,Altitude Film Sales Limited,32,"2,273",-54.27%,"509,573","7,243","1,630,904",20200629,6
1,英國,玩命Online：雙槍對決,2020/06/24,捷傑有限公司,Altitude Film Sales Limited,30,721,-68.28%,"159,774","7,964","1,790,678",20200706,7
2,英國,玩命Online：雙槍對決,2020/06/24,捷傑有限公司,Altitude Film Sales Limited,18,160,-77.81%,"33,370","8,124","1,824,048",20200713,7
3,英國,玩命Online：雙槍對決,2020/06/24,捷傑有限公司,Altitude Film Sales Limited,2,14,-91.25%,"2,520","8,138","1,826,568",20200720,7
4,英國,玩命Online：雙槍對決,2020/06/24,捷傑有限公司,Altitude Film Sales Limited,1,29,0.00%,"4,640","8,167","1,831,208",20200824,8
5,英國,玩命Online：雙槍對決,2020/06/24,捷傑有限公司,Altitude Film Sales Limited,1,53,82.76%,"8,130","8,220","1,839,338",20200831,8
6,英國,玩命Online：雙槍對決,2020/6/24,捷傑有限公司,Altitude Film Sales Limited,2,47,-11.32%,"7,370","8,267","1,846,708",20200907,9
7,英國,玩命Online：雙槍對決,2020/06/24,捷傑有限公司,Altitude Film Sales Limited,4,206,338.30%,"15,580","8,473","1,862,288",20200914,9
8,英國,玩命Online：雙槍對決,2020/06/24,捷傑有限公司,Altitude Film Sales Limited,4,306,48.54%,"21,055","8,779","1,883,343",20200921,9
9,英國,玩命Online：雙槍對決,2020/06/24,捷傑有限公司,Altitude Film Sales Limited,4,244,-20.26%,"17,285","9,023","1,900,628",20200928,9
10,英國,玩命Online：雙槍對決,2020/06/24,捷傑有限公司,Altitude Film Sales Limited,4,191,-21.72%,"15,445","9,214","1,916,073",20201005,10
11,英國,玩命Online：雙槍對決,2020/06/24,捷傑有限公司,Altitude Film Sales Limited,3,78,-59.16%,"6,655","9,292","1,922,728",20201012,10
12,英國,玩命Online：雙槍對決,2020/06/24,捷傑有限公司,Altitude Film Sales Limited,1,7,-91.03%,770,"9,299","1,923,498",20201019,10
