陰德克斯,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額,week,Month
0,法國,冬天的故事 經典數位修復,2020/08/21,天馬行空數位有限公司,LES FILMS DU LOSANGE,8,387,-4.44%,"81,485",792,"170,412",20200824,8
1,法國,冬天的故事 經典數位修復,2020/08/21,天馬行空數位有限公司,LES FILMS DU LOSANGE,4,113,-70.80%,"24,500",905,"194,912",20200831,8
2,法國,冬天的故事 經典數位修復,2020/8/21,天馬行空數位有限公司,LES FILMS DU LOSANGE,2,102,-9.73%,"21,785","1,007","216,697",20200907,9
3,法國,冬天的故事 經典數位修復,2020/08/21,天馬行空數位有限公司,LES FILMS DU LOSANGE,1,3,-97.06%,810,"1,010","217,507",20200914,9
