陰德克斯,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額,week,Month
0,德國,蘿莉破壞王,2020/09/11,鴻聯國際開發股份有限公司,Beta Cinema GmbH,8,769,17.40%,"166,105","1,424","311,570",20200914,9
1,德國,蘿莉破壞王,2020/09/11,鴻聯國際開發股份有限公司,Beta Cinema GmbH,7,464,-39.66%,"101,065","1,888","412,635",20200921,9
2,德國,蘿莉破壞王,2020/09/11,鴻聯國際開發股份有限公司,Beta Cinema GmbH,5,139,-70.04%,"30,900","2,027","443,535",20200928,9
3,德國,蘿莉破壞王,2020/09/11,鴻聯國際開發股份有限公司,Beta Cinema GmbH,2,61,-56.12%,"13,815","2,088","457,350",20201005,10
4,德國,蘿莉破壞王,2020/09/11,鴻聯國際開發股份有限公司,Beta Cinema GmbH,2,130,0.00%,"13,900","2,218","471,250",20201019,10
5,德國,蘿莉破壞王,2020/09/11,鴻聯國際開發股份有限公司,Beta Cinema GmbH,2,215,65.38%,"21,810","2,433","493,060",20201026,10
6,德國,蘿莉破壞王,2020/09/11,鴻聯國際開發股份有限公司,Beta Cinema GmbH,3,159,-26.05%,"14,760","2,592","507,820",20201102,11
7,德國,蘿莉破壞王,2020/09/11,鴻聯國際開發股份有限公司,Beta Cinema GmbH,4,199,25.16%,"15,360","2,791","523,180",20201109,11
8,德國,蘿莉破壞王,2020/09/11,鴻聯國際開發股份有限公司,Beta Cinema GmbH,3,180,-9.55%,"11,270","2,971","534,450",20201116,11
9,德國,蘿莉破壞王,2020/09/11,鴻聯國際開發股份有限公司,Beta Cinema GmbH,3,111,-38.33%,"6,555","3,082","541,005",20201123,11
10,德國,蘿莉破壞王,2020/09/11,鴻聯國際開發股份有限公司,Beta Cinema GmbH,1,29,-73.87%,"1,450","3,111","542,455",20201130,11
