陰德克斯,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額,week,Month
0,日本,星光王子 星光時尚秀 BEST10,2020/04/17,提恩傳媒實業有限公司,Avex Pictures,11,371,-6.78%,"87,850",769,"178,027",20200420,4
1,日本,星光王子 星光時尚秀 BEST10,2020/04/17,提恩傳媒實業有限公司,Avex Pictures,11,279,-24.80%,"64,796","1,048","242,823",20200427,4
2,日本,星光王子 星光時尚秀 BEST10,2020/04/17,提恩傳媒實業有限公司,Avex Pictures,8,69,-75.27%,"15,768","1,117","258,591",20200504,5
3,日本,星光王子 星光時尚秀 BEST10,2020/04/17,提恩傳媒實業有限公司,Avex Pictures,7,63,-8.70%,"15,151","1,180","273,742",20200511,5
4,日本,星光王子 星光時尚秀 BEST10,2020/04/17,提恩傳媒實業有限公司,Avex Pictures,6,47,-25.40%,"12,260","1,227","286,002",20200518,5
5,日本,星光王子 星光時尚秀 BEST10,2020/04/17,提恩傳媒實業有限公司,Avex Pictures,1,40,-14.89%,"9,600","1,267","295,602",20200525,5
6,日本,星光王子 星光時尚秀 BEST10,2020/04/17,提恩傳媒實業有限公司,Avex Pictures,2,7,0.00%,"1,722","1,274","297,324",20200803,8
