陰德克斯,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額,week,Month
0,日本,知道天空有多藍的人啊,2020/04/17,車庫娛樂股份有限公司,ANIPLEX INC.,41,"2,934",-25.51%,"704,184","6,873","1,639,056",20200420,4
1,日本,知道天空有多藍的人啊,2020/04/17,車庫娛樂股份有限公司,ANIPLEX INC.,40,"1,840",-37.29%,"447,179","8,713","2,086,235",20200427,4
2,日本,知道天空有多藍的人啊,2020/04/17,車庫娛樂股份有限公司,ANIPLEX INC.,25,911,-50.49%,"224,182","9,624","2,310,417",20200504,5
3,日本,知道天空有多藍的人啊,2020/04/17,車庫娛樂股份有限公司,ANIPLEX INC.,21,813,-10.76%,"204,491","10,437","2,514,908",20200511,5
4,日本,知道天空有多藍的人啊,2020/04/17,車庫娛樂股份有限公司,ANIPLEX INC.,16,461,-43.30%,"115,713","10,898","2,630,621",20200518,5
5,日本,知道天空有多藍的人啊,2020/04/17,車庫娛樂股份有限公司,ANIPLEX INC.,10,257,-44.25%,"63,797","11,155","2,694,418",20200525,5
6,日本,知道天空有多藍的人啊,2020/04/17,車庫娛樂股份有限公司,ANIPLEX INC.,4,97,-62.26%,"22,507","11,252","2,716,925",20200601,6
7,日本,知道天空有多藍的人啊,2020/04/17,車庫娛樂股份有限公司,ANIPLEX INC.,3,50,-48.45%,"11,515","11,302","2,728,440",20200608,6
8,日本,知道天空有多藍的人啊,2020/04/17,車庫娛樂股份有限公司,ANIPLEX INC.,3,35,-30.00%,"7,570","11,337","2,736,010",20200615,6
9,日本,知道天空有多藍的人啊,2020/04/17,車庫娛樂股份有限公司,ANIPLEX INC.,1,4,-88.57%,880,"11,341","2,736,890",20200622,6
