陰德克斯,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額,week,Month
0,馬來西亞,這一刻，想見你,2020/04/24,滿滿額娛樂股份有限公司,"mm2 Entertainment##邁進國際投資控股有限公司Max Capital Management Holding Ltd.##硯石(廈門)文化傳媒有限公司 Inkstone (Xiamen) Culture Media Co., Ltd.",7,318,-49.12%,"74,578","1,018","242,084",20200427,4
1,馬來西亞,這一刻，想見你,2020/04/24,滿滿額娛樂股份有限公司,"mm2 Entertainment##邁進國際投資控股有限公司Max Capital Management Holding Ltd.##硯石(廈門)文化傳媒有限公司 Inkstone (Xiamen) Culture Media Co., Ltd.",6,71,-77.67%,"17,397","1,089","259,481",20200504,5
2,馬來西亞,這一刻，想見你,2020/04/24,滿滿額娛樂股份有限公司,"mm2 Entertainment##邁進國際投資控股有限公司Max Capital Management Holding Ltd.##硯石(廈門)文化傳媒有限公司 Inkstone (Xiamen) Culture Media Co., Ltd.",1,11,-84.51%,"2,785","1,100","262,266",20200511,5
3,馬來西亞,這一刻，想見你,2020/04/24,滿滿額娛樂股份有限公司,"mm2 Entertainment##邁進國際投資控股有限公司Max Capital Management Holding Ltd.##硯石(廈門)文化傳媒有限公司 Inkstone (Xiamen) Culture Media Co., Ltd.",1,2,-81.82%,660,"1,102","262,926",20200518,5
