陰德克斯,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額,week,Month
0,美國,TENET天能,2020/08/27,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,100,"390,297",12.63%,"98,333,935","736,833","185,426,805",20200831,8
1,美國,TENET天能,2020/8/27,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,100,"263,516",-32.48%,"66,541,204","1,000,349","251,968,009",20200907,9
2,美國,TENET天能,2020/08/27,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,99,"138,379",-47.49%,"35,187,483","1,138,728","287,155,492",20200914,9
3,美國,TENET天能,2020/08/27,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,99,"88,520",-36.00%,"22,674,032","1,227,180","309,802,176",20200921,9
4,美國,TENET天能,2020/08/27,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,99,"73,020",-17.51%,"18,571,796","1,300,200","328,373,972",20200928,9
5,美國,TENET天能,2020/08/27,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,99,"40,142",-45.03%,"10,140,790","1,340,342","338,514,762",20201005,10
6,美國,TENET天能,2020/08/27,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,96,"20,018",-50.13%,"5,103,731","1,360,360","343,618,493",20201012,10
7,美國,TENET天能,2020/08/27,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,86,"12,581",-37.15%,"3,195,646","1,372,941","346,814,139",20201019,10
8,美國,TENET天能,2020/08/27,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,82,"6,256",-50.27%,"1,614,834","1,379,197","348,428,973",20201026,10
9,美國,TENET天能,2020/08/27,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,50,"1,986",-68.25%,"535,711","1,381,183","348,964,684",20201102,11
10,美國,TENET天能,2020/08/27,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,19,539,-72.86%,"160,670","1,381,722","349,125,354",20201109,11
11,美國,TENET天能,2020/08/27,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,6,272,-49.54%,"94,270","1,381,994","349,219,624",20201116,11
12,美國,TENET天能,2020/08/27,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,4,179,-34.19%,"62,675","1,382,173","349,282,299",20201123,11
13,美國,TENET天能,2020/08/27,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,2,71,-60.34%,"27,935","1,382,244","349,310,234",20201130,11
14,美國,TENET天能,2020/08/27,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,3,198,178.87%,"51,175","1,382,442","349,361,409",20201207,12
15,美國,TENET天能,2020/08/27,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,2,108,-45.45%,"20,510","1,382,550","349,381,919",20201214,12
16,美國,TENET天能,2020/08/27,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,4,"1,035",858.33%,"66,180","1,383,585","349,448,099",20201221,12
17,美國,TENET天能,2020/08/27,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,7,"1,514",46.28%,"112,460","1,385,099","349,560,559",20201228,12
