陰德克斯,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額,week,Month
0,英國,美麗佳人歐蘭朵 跨世紀重映,2020/08/28,水元素文化傳媒有限公司,Hanway Films Limited,16,"1,138",67.85%,"250,355","1,816","397,298",20200831,8
1,英國,美麗佳人歐蘭朵 跨世紀重映,2020/8/28,水元素文化傳媒有限公司,Hanway Films Limited,10,737,-35.24%,"159,680","2,553","556,978",20200907,9
2,英國,美麗佳人歐蘭朵 跨世紀重映,2020/08/28,水元素文化傳媒有限公司,Hanway Films Limited,7,239,-67.57%,"52,055","2,792","609,033",20200914,9
3,英國,美麗佳人歐蘭朵 跨世紀重映,2020/08/28,水元素文化傳媒有限公司,Hanway Films Limited,2,15,-93.72%,"3,000","2,807","612,033",20200921,9
4,英國,美麗佳人歐蘭朵 跨世紀重映,2020/08/28,水元素文化傳媒有限公司,Hanway Films Limited,3,81,440.00%,"5,190","2,888","617,223",20200928,9
5,英國,美麗佳人歐蘭朵 跨世紀重映,2020/08/28,水元素文化傳媒有限公司,Hanway Films Limited,4,98,20.99%,"9,690","2,986","626,913",20201005,10
6,英國,美麗佳人歐蘭朵 跨世紀重映,2020/08/28,水元素文化傳媒有限公司,Hanway Films Limited,2,91,-7.14%,"8,370","3,077","635,283",20201012,10
7,英國,美麗佳人歐蘭朵 跨世紀重映,2020/08/28,水元素文化傳媒有限公司,Hanway Films Limited,3,48,-47.25%,"5,220","3,125","640,503",20201019,10
8,英國,美麗佳人歐蘭朵 跨世紀重映,2020/08/28,水元素文化傳媒有限公司,Hanway Films Limited,3,53,10.42%,"6,440","3,178","646,943",20201026,10
9,英國,美麗佳人歐蘭朵 跨世紀重映,2020/08/28,水元素文化傳媒有限公司,Hanway Films Limited,1,71,33.96%,"8,080","3,249","655,023",20201102,11
10,英國,美麗佳人歐蘭朵 跨世紀重映,2020/08/28,水元素文化傳媒有限公司,Hanway Films Limited,1,28,-60.56%,"3,270","3,277","658,293",20201109,11
