陰德克斯,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額,week,Month
0,巴拉圭,現屍報,2020/04/30,可樂藝術文創股份有限公司,ATRIUM Productions Kft.,51,"1,742",-25.87%,"390,811","4,092","910,432",20200504,5
1,巴拉圭,現屍報,2020/04/30,可樂藝術文創股份有限公司,ATRIUM Productions Kft.,49,"1,017",-41.62%,"224,154","5,109","1,134,586",20200511,5
2,巴拉圭,現屍報,2020/04/30,可樂藝術文創股份有限公司,ATRIUM Productions Kft.,27,308,-69.71%,"67,445","5,417","1,202,031",20200518,5
3,巴拉圭,現屍報,2020/04/30,可樂藝術文創股份有限公司,ATRIUM Productions Kft.,12,67,-78.25%,"14,595","5,484","1,216,626",20200525,5
4,巴拉圭,現屍報,2020/04/30,可樂藝術文創股份有限公司,ATRIUM Productions Kft.,4,19,-71.64%,"2,020","5,503","1,218,646",20200601,6
