陰德克斯,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額,week,Month
0,俄羅斯,罪：米開朗基羅,2020/04/17,佳映娛樂國際股份有限公司,ARRI Media GmbH,9,526,14.85%,"109,800",984,"204,105",20200420,4
1,俄羅斯,罪：米開朗基羅,2020/04/17,佳映娛樂國際股份有限公司,ARRI Media GmbH,9,306,-41.83%,"64,635","1,290","268,740",20200427,4
2,俄羅斯,罪：米開朗基羅,2020/04/17,佳映娛樂國際股份有限公司,ARRI Media GmbH,6,156,-49.02%,"32,815","1,446","301,555",20200504,5
3,俄羅斯,罪：米開朗基羅,2020/04/17,佳映娛樂國際股份有限公司,ARRI Media GmbH,4,101,-35.26%,"21,095","1,547","322,650",20200511,5
4,俄羅斯,罪：米開朗基羅,2020/04/17,佳映娛樂國際股份有限公司,ARRI Media GmbH,3,28,-72.28%,"5,900","1,575","328,550",20200518,5
5,俄羅斯,罪：米開朗基羅,2020/04/17,佳映娛樂國際股份有限公司,ARRI Media GmbH,2,23,-17.86%,"5,090","1,598","333,640",20200525,5
6,俄羅斯,罪：米開朗基羅,2020/04/17,佳映娛樂國際股份有限公司,ARRI Media GmbH,1,43,0.00%,"8,600","1,641","342,240",20200720,7
7,俄羅斯,罪：米開朗基羅,2020/04/17,佳映娛樂國際股份有限公司,ARRI Media GmbH,1,22,0.00%,"3,520","1,663","345,760",20201026,10
8,俄羅斯,罪：米開朗基羅,2020/04/17,佳映娛樂國際股份有限公司,ARRI Media GmbH,1,32,45.45%,"4,920","1,695","350,680",20201102,11
9,俄羅斯,罪：米開朗基羅,2020/04/17,佳映娛樂國際股份有限公司,ARRI Media GmbH,1,10,-68.75%,"1,500","1,705","352,180",20201109,11
