陰德克斯,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額,week,Month
0,美國,火線獵殺令,2020/05/29,車庫娛樂股份有限公司,"HIGHLAND FILM GROUP, INC.",50,"4,871",-7.87%,"1,114,265","10,158","2,333,610",20200601,6
1,美國,火線獵殺令,2020/05/29,車庫娛樂股份有限公司,"HIGHLAND FILM GROUP, INC.",48,"1,861",-61.79%,"428,295","12,019","2,761,905",20200608,6
2,美國,火線獵殺令,2020/05/29,車庫娛樂股份有限公司,"HIGHLAND FILM GROUP, INC.",33,393,-78.88%,"88,227","12,412","2,850,132",20200615,6
3,美國,火線獵殺令,2020/05/29,車庫娛樂股份有限公司,"HIGHLAND FILM GROUP, INC.",8,18,-95.42%,"4,380","12,430","2,854,512",20200622,6
