陰德克斯,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額,week,Month
0,日本,蠟筆小新電影 激戰!塗鴉王國與差不多四勇者,2020/09/11,木棉花國際股份有限公司,ADK EMOTIOS INC.,57,"19,574",-21.63%,"4,504,448","44,549","10,261,547",20200914,9
1,日本,蠟筆小新電影 激戰!塗鴉王國與差不多四勇者,2020/09/11,木棉花國際股份有限公司,ADK EMOTIOS INC.,56,"8,993",-53.97%,"2,057,665","53,507","12,310,031",20200921,9
2,日本,蠟筆小新電影 激戰!塗鴉王國與差不多四勇者,2020/09/11,木棉花國際股份有限公司,ADK EMOTIOS INC.,54,"8,907",-0.96%,"2,010,059","62,414","14,320,090",20200928,9
3,日本,蠟筆小新電影 激戰!塗鴉王國與差不多四勇者,2020/09/11,木棉花國際股份有限公司,ADK EMOTIOS INC.,48,"4,039",-54.65%,"908,866","66,453","15,228,956",20201005,10
4,日本,蠟筆小新電影 激戰!塗鴉王國與差不多四勇者,2020/09/11,木棉花國際股份有限公司,ADK EMOTIOS INC.,36,"1,755",-56.55%,"393,785","68,208","15,622,741",20201012,10
5,日本,蠟筆小新電影 激戰!塗鴉王國與差不多四勇者,2020/09/11,木棉花國際股份有限公司,ADK EMOTIOS INC.,31,"1,019",-41.94%,"227,451","69,227","15,850,192",20201019,10
6,日本,蠟筆小新電影 激戰!塗鴉王國與差不多四勇者,2020/09/11,木棉花國際股份有限公司,ADK EMOTIOS INC.,21,359,-64.77%,"79,620","69,586","15,929,812",20201026,10
7,日本,蠟筆小新電影 激戰!塗鴉王國與差不多四勇者,2020/09/11,木棉花國際股份有限公司,ADK EMOTIOS INC.,6,100,-72.14%,"23,855","69,686","15,953,667",20201102,11
8,日本,蠟筆小新電影 激戰!塗鴉王國與差不多四勇者,2020/09/11,木棉花國際股份有限公司,ADK EMOTIOS INC.,13,777,677.00%,"185,188","70,463","16,138,855",20201109,11
9,日本,蠟筆小新電影 激戰!塗鴉王國與差不多四勇者,2020/09/11,木棉花國際股份有限公司,ADK EMOTIOS INC.,13,498,-35.91%,"116,500","70,961","16,255,355",20201116,11
10,日本,蠟筆小新電影 激戰!塗鴉王國與差不多四勇者,2020/09/11,木棉花國際股份有限公司,ADK EMOTIOS INC.,11,151,-69.68%,"37,245","71,112","16,292,600",20201123,11
11,日本,蠟筆小新電影 激戰!塗鴉王國與差不多四勇者,2020/09/11,木棉花國際股份有限公司,ADK EMOTIOS INC.,2,31,-79.47%,"6,785","71,143","16,299,385",20201130,11
12,日本,蠟筆小新電影 激戰!塗鴉王國與差不多四勇者,2020/09/11,木棉花國際股份有限公司,ADK EMOTIOS INC.,2,12,-61.29%,"2,690","71,155","16,302,075",20201207,12
13,日本,蠟筆小新電影 激戰!塗鴉王國與差不多四勇者,2020/09/11,木棉花國際股份有限公司,ADK EMOTIOS INC.,1,6,-50.00%,"1,680","71,161","16,303,755",20201214,12
