陰德克斯,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額,week,Month
0,香港,熱血合唱團,2020/12/04,台北双喜電影發行股份有限公司,博納影視娛樂有限公司 	 ##博納影業集團股份有限公司##上海博納文化傳媒有限公司##双喜電影發行(北京)有限公司##夢造者娛樂有限公司,47,"1,449",-3.66%,"327,418","3,215","739,865",20201207,12
1,香港,熱血合唱團,2020/12/04,台北双喜電影發行股份有限公司,博納影視娛樂有限公司 	 ##博納影業集團股份有限公司##上海博納文化傳媒有限公司##双喜電影發行(北京)有限公司##夢造者娛樂有限公司,27,237,-83.64%,"48,645","3,452","788,510",20201214,12
