陰德克斯,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額,week,Month
0,俄羅斯,失控特工,2020/06/19,可樂藝術文創股份有限公司,Central Partnership Sales House,45,"6,233",13.87%,"1,449,770","11,707","2,719,155",20200622,6
1,俄羅斯,失控特工,2020/06/19,可樂藝術文創股份有限公司,Central Partnership Sales House,42,"1,671",-73.19%,"392,752","13,378","3,111,907",20200629,6
2,俄羅斯,失控特工,2020/06/19,可樂藝術文創股份有限公司,Central Partnership Sales House,26,456,-72.71%,"105,268","13,834","3,217,175",20200706,7
3,俄羅斯,失控特工,2020/06/19,可樂藝術文創股份有限公司,Central Partnership Sales House,9,51,-88.82%,"11,885","13,885","3,229,060",20200713,7
4,俄羅斯,失控特工,2020/06/19,可樂藝術文創股份有限公司,Central Partnership Sales House,2,20,-60.78%,"4,820","13,905","3,233,880",20200720,7
5,俄羅斯,失控特工,2020/06/19,可樂藝術文創股份有限公司,Central Partnership Sales House,1,984,"4,820.00%","51,480","14,889","3,285,360",20200727,7
6,俄羅斯,失控特工,2020/06/19,可樂藝術文創股份有限公司,Central Partnership Sales House,1,"1,283",30.39%,"70,390","16,172","3,355,750",20200803,8
7,俄羅斯,失控特工,2020/06/19,可樂藝術文創股份有限公司,Central Partnership Sales House,3,"1,262",-1.64%,"73,460","17,434","3,429,210",20200810,8
8,俄羅斯,失控特工,2020/06/19,可樂藝術文創股份有限公司,Central Partnership Sales House,4,844,-33.12%,"55,670","18,278","3,484,880",20200817,8
9,俄羅斯,失控特工,2020/06/19,可樂藝術文創股份有限公司,Central Partnership Sales House,5,141,-83.29%,"17,580","18,419","3,502,460",20200824,8
10,俄羅斯,失控特工,2020/06/19,可樂藝術文創股份有限公司,Central Partnership Sales House,4,243,72.34%,"26,180","18,662","3,528,640",20200831,8
11,俄羅斯,失控特工,2020/6/19,可樂藝術文創股份有限公司,Central Partnership Sales House,4,182,-25.10%,"18,420","18,844","3,547,060",20200907,9
12,俄羅斯,失控特工,2020/06/19,可樂藝術文創股份有限公司,Central Partnership Sales House,2,111,-39.01%,"10,340","18,955","3,557,400",20200914,9
13,俄羅斯,失控特工,2020/06/19,可樂藝術文創股份有限公司,Central Partnership Sales House,1,44,-60.36%,"3,860","18,999","3,561,260",20200921,9
