陰德克斯,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額,week,Month
0,英國,吾子吾弟,2020/07/03,威秀影城股份有限公司,THE ROYAL NATIONAL THEATRE,4,16,"1,600.00%","11,000",16,"11,000",20200706,7
1,英國,吾子吾弟,2020/07/03,威秀影城股份有限公司,THE ROYAL NATIONAL THEATRE,1,8,-50.00%,"5,280",24,"16,280",20200713,7
2,英國,吾子吾弟,2020/07/03,威秀影城股份有限公司,THE ROYAL NATIONAL THEATRE,1,36,350.00%,"24,080",60,"40,360",20200720,7
3,英國,吾子吾弟,2020/07/03,威秀影城股份有限公司,THE ROYAL NATIONAL THEATRE,1,33,-8.33%,"23,040",93,"63,400",20200727,7
4,英國,吾子吾弟,2020/07/03,威秀影城股份有限公司,THE ROYAL NATIONAL THEATRE,3,41,24.24%,"28,200",134,"91,600",20200803,8
5,英國,吾子吾弟,2020/07/03,威秀影城股份有限公司,THE ROYAL NATIONAL THEATRE,1,32,0.00%,"22,600",166,"114,200",20200817,8
6,英國,吾子吾弟,2020/07/03,威秀影城股份有限公司,THE ROYAL NATIONAL THEATRE,5,23,-28.13%,"15,220",189,"129,420",20200824,8
7,英國,吾子吾弟,2020/7/3,威秀影城股份有限公司,THE ROYAL NATIONAL THEATRE,2,0,0.00%,0,189,"129,420",20200907,9
8,英國,吾子吾弟,2020/07/03,威秀影城股份有限公司,THE ROYAL NATIONAL THEATRE,2,11,"1,100.00%","7,960",200,"137,380",20200914,9
9,英國,吾子吾弟,2020/07/03,威秀影城股份有限公司,THE ROYAL NATIONAL THEATRE,6,26,136.36%,"18,640",226,"156,020",20200921,9
10,英國,吾子吾弟,2020/07/03,威秀影城股份有限公司,THE ROYAL NATIONAL THEATRE,6,56,0.00%,"40,720",282,"196,740",20201019,10
