陰德克斯,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額,week,Month
0,日本,全境失控,2020/02/14,采昌國際多媒體股份有限公司,日本テレビ放送網株式会社,42,"1,797",-24.56%,"389,693","4,179","913,046",20200217,2
1,日本,全境失控,2020/02/14,采昌國際多媒體股份有限公司,日本テレビ放送網株式会社,27,203,-88.70%,"45,531","4,382","958,577",20200224,2
2,日本,全境失控,2020/02/14,采昌國際多媒體股份有限公司,日本テレビ放送網株式会社,1,27,-86.70%,"6,295","4,409","964,872",20200302,3
3,日本,全境失控,2020/02/14,采昌國際多媒體股份有限公司,日本テレビ放送網株式会社,2,30,11.11%,"5,490","4,439","970,362",20200309,3
4,日本,全境失控,2020/02/14,采昌國際多媒體股份有限公司,日本テレビ放送網株式会社,2,73,143.33%,"7,320","4,512","977,682",20200316,3
5,日本,全境失控,2020/02/14,采昌國際多媒體股份有限公司,日本テレビ放送網株式会社,2,90,23.29%,"8,440","4,602","986,122",20200323,3
6,日本,全境失控,2020/02/14,采昌國際多媒體股份有限公司,日本テレビ放送網株式会社,2,43,-52.22%,"3,860","4,645","989,982",20200330,3
7,日本,全境失控,2020/02/14,采昌國際多媒體股份有限公司,日本テレビ放送網株式会社,1,12,0.00%,"1,920","4,657","991,902",20200413,4
8,日本,全境失控,2020/02/14,采昌國際多媒體股份有限公司,日本テレビ放送網株式会社,1,23,91.67%,"3,360","4,680","995,262",20200420,4
9,日本,全境失控,2020/02/14,采昌國際多媒體股份有限公司,日本テレビ放送網株式会社,1,14,-39.13%,"2,040","4,694","997,302",20200427,4
10,日本,全境失控,2020/02/14,采昌國際多媒體股份有限公司,日本テレビ放送網株式会社,1,6,-57.14%,840,"4,700","998,142",20200504,5
11,日本,全境失控,2020/02/14,采昌國際多媒體股份有限公司,日本テレビ放送網株式会社,1,13,116.67%,"1,430","4,713","999,572",20200511,5
12,日本,全境失控,2020/02/14,采昌國際多媒體股份有限公司,日本テレビ放送網株式会社,1,11,-15.38%,"1,240","4,724","1,000,812",20200518,5
13,日本,全境失控,2020/02/14,采昌國際多媒體股份有限公司,日本テレビ放送網株式会社,1,6,-45.45%,660,"4,730","1,001,472",20200525,5
