陰德克斯,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額,week,Month
0,美國,血衛,2020/03/12,薩摩亞商雄讚股份有限公司台灣分公司,"Bona Film Investment Company (Pacific RIM, USA)",99,"75,727",-42.99%,"18,052,155","208,557","49,818,165",20200316,3
1,美國,血衛,2020/03/12,薩摩亞商雄讚股份有限公司台灣分公司,"Bona Film Investment Company (Pacific RIM, USA)",99,"28,765",-62.01%,"6,830,580","237,322","56,648,745",20200323,3
2,美國,血衛,2020/03/12,薩摩亞商雄讚股份有限公司台灣分公司,"Bona Film Investment Company (Pacific RIM, USA)",97,"13,336",-53.64%,"3,152,459","250,658","59,801,204",20200330,3
3,美國,血衛,2020/03/12,薩摩亞商雄讚股份有限公司台灣分公司,"Bona Film Investment Company (Pacific RIM, USA)",87,"4,494",-66.30%,"1,092,490","255,152","60,893,694",20200406,4
4,美國,血衛,2020/03/12,薩摩亞商雄讚股份有限公司台灣分公司,"Bona Film Investment Company (Pacific RIM, USA)",78,"2,532",-43.66%,"592,993","257,684","61,486,687",20200413,4
5,美國,血衛,2020/03/12,薩摩亞商雄讚股份有限公司台灣分公司,"Bona Film Investment Company (Pacific RIM, USA)",66,"1,347",-46.80%,"306,696","259,031","61,793,383",20200420,4
6,美國,血衛,2020/03/12,薩摩亞商雄讚股份有限公司台灣分公司,"Bona Film Investment Company (Pacific RIM, USA)",48,589,-56.27%,"133,851","259,620","61,927,234",20200427,4
7,美國,血衛,2020/03/12,薩摩亞商雄讚股份有限公司台灣分公司,"Bona Film Investment Company (Pacific RIM, USA)",28,286,-51.44%,"65,922","259,908","61,993,156",20200504,5
8,美國,血衛,2020/03/12,薩摩亞商雄讚股份有限公司台灣分公司,"Bona Film Investment Company (Pacific RIM, USA)",17,129,-54.90%,"29,010","260,037","62,022,166",20200511,5
9,美國,血衛,2020/03/12,薩摩亞商雄讚股份有限公司台灣分公司,"Bona Film Investment Company (Pacific RIM, USA)",6,26,-79.84%,"5,720","260,063","62,027,886",20200518,5
10,美國,血衛,2020/03/12,薩摩亞商雄讚股份有限公司台灣分公司,"Bona Film Investment Company (Pacific RIM, USA)",1,5,-80.77%,"1,160","260,068","62,029,046",20200525,5
11,美國,血衛,2020/03/12,薩摩亞商雄讚股份有限公司台灣分公司,"Bona Film Investment Company (Pacific RIM, USA)",5,"1,228",0.00%,"81,950","261,296","62,110,996",20200622,6
12,美國,血衛,2020/03/12,薩摩亞商雄讚股份有限公司台灣分公司,"Bona Film Investment Company (Pacific RIM, USA)",5,"1,089",-11.32%,"74,165","262,385","62,185,161",20200629,6
13,美國,血衛,2020/03/12,薩摩亞商雄讚股份有限公司台灣分公司,"Bona Film Investment Company (Pacific RIM, USA)",6,868,-20.29%,"60,675","263,253","62,245,836",20200706,7
14,美國,血衛,2020/03/12,薩摩亞商雄讚股份有限公司台灣分公司,"Bona Film Investment Company (Pacific RIM, USA)",7,758,-12.67%,"51,525","264,011","62,297,361",20200713,7
15,美國,血衛,2020/03/12,薩摩亞商雄讚股份有限公司台灣分公司,"Bona Film Investment Company (Pacific RIM, USA)",6,341,-55.01%,"27,050","264,352","62,324,411",20200720,7
16,美國,血衛,2020/03/12,薩摩亞商雄讚股份有限公司台灣分公司,"Bona Film Investment Company (Pacific RIM, USA)",4,242,-29.03%,"23,410","264,594","62,347,821",20200727,7
17,美國,血衛,2020/03/12,薩摩亞商雄讚股份有限公司台灣分公司,"Bona Film Investment Company (Pacific RIM, USA)",3,211,-12.81%,"18,620","264,805","62,366,441",20200803,8
18,美國,血衛,2020/03/12,薩摩亞商雄讚股份有限公司台灣分公司,"Bona Film Investment Company (Pacific RIM, USA)",2,146,-30.81%,"12,480","264,951","62,378,921",20200810,8
19,美國,血衛,2020/03/12,薩摩亞商雄讚股份有限公司台灣分公司,"Bona Film Investment Company (Pacific RIM, USA)",1,110,-24.66%,"8,820","265,061","62,387,741",20200817,8
20,美國,血衛,2020/03/12,薩摩亞商雄讚股份有限公司台灣分公司,"Bona Film Investment Company (Pacific RIM, USA)",1,41,-62.73%,"3,320","265,102","62,391,061",20200824,8
