陰德克斯,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額,week,Month
0,日本,假面騎士－ 令和時代的開端,2020/04/24,木棉花國際股份有限公司,"TOEI COMPANY, LTD.",14,"1,371",-31.11%,"329,898","3,361","812,766",20200427,4
1,日本,假面騎士－ 令和時代的開端,2020/04/24,木棉花國際股份有限公司,"TOEI COMPANY, LTD.",14,615,-55.14%,"149,700","3,976","962,466",20200504,5
2,日本,假面騎士－ 令和時代的開端,2020/04/24,木棉花國際股份有限公司,"TOEI COMPANY, LTD.",13,275,-55.28%,"67,040","4,251","1,029,506",20200511,5
3,日本,假面騎士－ 令和時代的開端,2020/04/24,木棉花國際股份有限公司,"TOEI COMPANY, LTD.",8,69,-74.91%,"15,895","4,320","1,045,401",20200518,5
4,日本,假面騎士－ 令和時代的開端,2020/04/24,木棉花國際股份有限公司,"TOEI COMPANY, LTD.",2,4,-94.20%,"1,040","4,324","1,046,441",20200525,5
