陰德克斯,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額,week,Month
0,中國大陸,蘇州河,2020/08/28,前景娛樂有限公司,SOCIÉTÉ PARISIENNE DE PRODUCTION SARL,13,"2,815",96.30%,"630,005","4,249","954,921",20200831,8
1,中國大陸,蘇州河,2020/8/28,前景娛樂有限公司,SOCIÉTÉ PARISIENNE DE PRODUCTION SARL,12,"1,965",-30.20%,"445,700","6,214","1,400,621",20200907,9
2,中國大陸,蘇州河,2020/08/28,前景娛樂有限公司,SOCIÉTÉ PARISIENNE DE PRODUCTION SARL,9,"1,077",-45.19%,"240,820","7,291","1,641,441",20200914,9
3,中國大陸,蘇州河,2020/08/28,前景娛樂有限公司,SOCIÉTÉ PARISIENNE DE PRODUCTION SARL,7,558,-48.19%,"128,220","7,849","1,769,661",20200921,9
4,中國大陸,蘇州河,2020/08/28,前景娛樂有限公司,SOCIÉTÉ PARISIENNE DE PRODUCTION SARL,5,356,-36.20%,"80,940","8,205","1,850,601",20200928,9
5,中國大陸,蘇州河,2020/08/28,前景娛樂有限公司,SOCIÉTÉ PARISIENNE DE PRODUCTION SARL,5,184,-48.31%,"42,545","8,389","1,893,146",20201005,10
6,中國大陸,蘇州河,2020/08/28,前景娛樂有限公司,SOCIÉTÉ PARISIENNE DE PRODUCTION SARL,4,109,-40.76%,"23,810","8,498","1,916,956",20201012,10
7,中國大陸,蘇州河,2020/08/28,前景娛樂有限公司,SOCIÉTÉ PARISIENNE DE PRODUCTION SARL,3,29,-73.39%,"6,360","8,527","1,923,316",20201019,10
8,中國大陸,蘇州河,2020/08/28,前景娛樂有限公司,SOCIÉTÉ PARISIENNE DE PRODUCTION SARL,1,4,-86.21%,730,"8,531","1,924,046",20201026,10
9,中國大陸,蘇州河,2020/08/28,前景娛樂有限公司,SOCIÉTÉ PARISIENNE DE PRODUCTION SARL,1,53,"1,225.00%","5,990","8,584","1,930,036",20201102,11
10,中國大陸,蘇州河,2020/08/28,前景娛樂有限公司,SOCIÉTÉ PARISIENNE DE PRODUCTION SARL,1,95,79.25%,"10,370","8,679","1,940,406",20201109,11
11,中國大陸,蘇州河,2020/08/28,前景娛樂有限公司,SOCIÉTÉ PARISIENNE DE PRODUCTION SARL,1,36,-62.11%,"3,840","8,715","1,944,246",20201116,11
