陰德克斯,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額,week,Month
0,巴西,中央車站:數位修復版,2020/09/11,光年映畫有限公司,MACT Productions,20,"2,266",38.93%,"494,654","4,092","916,345",20200914,9
1,巴西,中央車站:數位修復版,2020/09/11,光年映畫有限公司,MACT Productions,16,"1,101",-51.41%,"239,870","5,193","1,156,215",20200921,9
2,巴西,中央車站:數位修復版,2020/09/11,光年映畫有限公司,MACT Productions,9,724,-34.24%,"158,700","5,917","1,314,915",20200928,9
3,巴西,中央車站:數位修復版,2020/09/11,光年映畫有限公司,MACT Productions,6,509,-29.70%,"110,595","6,426","1,425,510",20201005,10
4,巴西,中央車站:數位修復版,2020/09/11,光年映畫有限公司,MACT Productions,5,241,-52.65%,"52,410","6,667","1,477,920",20201012,10
5,巴西,中央車站:數位修復版,2020/09/11,光年映畫有限公司,MACT Productions,3,98,-59.34%,"21,890","6,765","1,499,810",20201019,10
6,巴西,中央車站:數位修復版,2020/09/11,光年映畫有限公司,MACT Productions,2,51,-47.96%,"11,450","6,816","1,511,260",20201026,10
7,巴西,中央車站:數位修復版,2020/09/11,光年映畫有限公司,MACT Productions,2,24,-52.94%,"3,840","6,840","1,515,100",20201102,11
8,巴西,中央車站:數位修復版,2020/09/11,光年映畫有限公司,MACT Productions,1,33,37.50%,"5,060","6,873","1,520,160",20201109,11
9,巴西,中央車站:數位修復版,2020/09/11,光年映畫有限公司,MACT Productions,1,17,-48.48%,"2,620","6,890","1,522,780",20201116,11
10,巴西,中央車站:數位修復版,2020/09/11,光年映畫有限公司,MACT Productions,1,6,-64.71%,900,"6,896","1,523,680",20201123,11
11,巴西,中央車站:數位修復版,2020/09/11,光年映畫有限公司,MACT Productions,1,48,0.00%,"5,450","6,944","1,529,130",20201228,12
