陰德克斯,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額,week,Month
0,美國,杜立德,2020/01/23,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,101,"141,378",27.42%,"33,995,357","252,329","60,935,325",20200127,1
1,美國,杜立德,2020/01/23,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,100,"37,776",-73.28%,"8,867,550","290,095","69,800,705",20200203,2
2,美國,杜立德,2020/01/23,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,86,"1,060",-1.03%,"246,900","310,855","74,625,288",20200210,2
3,美國,杜立德,2020/01/23,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,86,"5,885",-68.41%,"1,379,299","314,609","75,503,732",20200217,2
4,美國,杜立德,2020/01/23,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,55,"1,036",-82.40%,"242,087","315,645","75,745,819",20200224,2
5,美國,杜立德,2020/01/23,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,8,83,-91.99%,"20,153","315,728","75,765,972",20200302,3
6,美國,杜立德,2020/01/23,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,3,22,-73.49%,"4,950","315,750","75,770,922",20200309,3
7,美國,杜立德,2020/01/23,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,3,216,0.00%,"20,560","315,966","75,791,482",20200406,4
8,美國,杜立德,2020/01/23,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,6,709,228.24%,"56,575","316,675","75,848,057",20200413,4
9,美國,杜立德,2020/01/23,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,7,622,-12.27%,"48,695","317,297","75,896,752",20200420,4
10,美國,杜立德,2020/01/23,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,7,417,-32.96%,"34,180","317,714","75,930,932",20200427,4
11,美國,杜立德,2020/01/23,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,4,191,-54.20%,"11,845","317,905","75,942,777",20200504,5
12,美國,杜立德,2020/01/30,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,2,56,-70.68%,"2,960","317,961","75,945,737",20200511,5
13,美國,杜立德,2020/01/23,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,1,40,0.00%,"4,530","318,001","75,950,267",20200803,8
14,美國,杜立德,2020/01/23,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,1,85,112.50%,"9,170","318,086","75,959,437",20200810,8
15,美國,杜立德,2020/01/23,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,1,36,-57.65%,"3,980","318,122","75,963,417",20200817,8
