陰德克斯,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額,week,Month
0,泰國,見鬼的戀愛季節,2020/04/30,英屬維京群島商高捷全球開發有限公司 台灣分公司,"Sahamongkolfilm International Co.,Ltd.",62,"7,213",3.55%,"1,619,355","14,179","3,183,085",20200504,5
1,泰國,見鬼的戀愛季節,2020/04/30,英屬維京群島商高捷全球開發有限公司 台灣分公司,"Sahamongkolfilm International Co.,Ltd.",62,"5,753",-20.22%,"1,292,190","19,930","4,475,275",20200511,5
2,泰國,見鬼的戀愛季節,2020/04/30,英屬維京群島商高捷全球開發有限公司 台灣分公司,"Sahamongkolfilm International Co.,Ltd.",58,"3,243",-43.63%,"725,632","23,173","5,200,907",20200518,5
3,泰國,見鬼的戀愛季節,2020/04/30,英屬維京群島商高捷全球開發有限公司 台灣分公司,"Sahamongkolfilm International Co.,Ltd.",41,"1,608",-50.42%,"350,037","24,781","5,550,944",20200525,5
4,泰國,見鬼的戀愛季節,2020/04/30,英屬維京群島商高捷全球開發有限公司 台灣分公司,"Sahamongkolfilm International Co.,Ltd.",31,811,-49.56%,"172,270","25,592","5,723,214",20200601,6
5,泰國,見鬼的戀愛季節,2020/04/30,英屬維京群島商高捷全球開發有限公司 台灣分公司,"Sahamongkolfilm International Co.,Ltd.",22,407,-49.82%,"87,180","25,999","5,810,394",20200608,6
6,泰國,見鬼的戀愛季節,2020/04/30,英屬維京群島商高捷全球開發有限公司 台灣分公司,"Sahamongkolfilm International Co.,Ltd.",12,117,-71.25%,"24,840","26,116","5,835,234",20200615,6
7,泰國,見鬼的戀愛季節,2020/04/30,英屬維京群島商高捷全球開發有限公司 台灣分公司,"Sahamongkolfilm International Co.,Ltd.",4,25,-78.63%,"4,955","26,141","5,840,189",20200622,6
8,泰國,見鬼的戀愛季節,2020/04/30,英屬維京群島商高捷全球開發有限公司 台灣分公司,"Sahamongkolfilm International Co.,Ltd.",1,34,0.00%,"5,440","26,175","5,845,629",20200810,8
9,泰國,見鬼的戀愛季節,2020/04/30,英屬維京群島商高捷全球開發有限公司 台灣分公司,"Sahamongkolfilm International Co.,Ltd.",1,57,67.65%,"8,380","26,232","5,854,009",20200817,8
10,泰國,見鬼的戀愛季節,2020/04/30,英屬維京群島商高捷全球開發有限公司 台灣分公司,"Sahamongkolfilm International Co.,Ltd.",2,54,-5.26%,"6,630","26,286","5,860,639",20200824,8
11,泰國,見鬼的戀愛季節,2020/04/30,英屬維京群島商高捷全球開發有限公司 台灣分公司,"Sahamongkolfilm International Co.,Ltd.",1,22,-59.26%,"2,420","26,308","5,863,059",20200831,8
12,泰國,見鬼的戀愛季節,2020/4/30,英屬維京群島商高捷全球開發有限公司 台灣分公司,"Sahamongkolfilm International Co.,Ltd.",3,203,822.73%,"13,905","26,511","5,876,964",20200907,9
13,泰國,見鬼的戀愛季節,2020/04/30,英屬維京群島商高捷全球開發有限公司 台灣分公司,"Sahamongkolfilm International Co.,Ltd.",3,263,29.56%,"19,085","26,774","5,896,049",20200914,9
14,泰國,見鬼的戀愛季節,2020/04/30,英屬維京群島商高捷全球開發有限公司 台灣分公司,"Sahamongkolfilm International Co.,Ltd.",3,80,-69.58%,"6,070","26,854","5,902,119",20200921,9
