陰德克斯,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額,week,Month
0,美國,倒數反擊,2020/10/08,威視股份有限公司,"Honest Thief Productions, LLC",95,"60,237",-34.02%,"14,185,016","151,536","35,589,884",20201012,10
1,美國,倒數反擊,2020/10/08,威視股份有限公司,"Honest Thief Productions, LLC",95,"30,553",-49.28%,"7,224,234","182,089","42,814,118",20201019,10
2,美國,倒數反擊,2020/10/08,威視股份有限公司,"Honest Thief Productions, LLC",95,"12,957",-57.59%,"3,047,022","195,046","45,861,140",20201026,10
3,美國,倒數反擊,2020/10/08,威視股份有限公司,"Honest Thief Productions, LLC",75,"3,709",-71.37%,"878,258","198,755","46,739,398",20201102,11
4,美國,倒數反擊,2020/10/08,威視股份有限公司,"Honest Thief Productions, LLC",37,918,-75.25%,"219,110","199,673","46,958,508",20201109,11
5,美國,倒數反擊,2020/10/08,威視股份有限公司,"Honest Thief Productions, LLC",10,345,-62.42%,"78,635","200,018","47,037,143",20201116,11
6,美國,倒數反擊,2020/10/08,威視股份有限公司,"Honest Thief Productions, LLC",4,19,-94.49%,"4,415","200,037","47,041,558",20201123,11
7,美國,倒數反擊,2020/10/08,威視股份有限公司,"Honest Thief Productions, LLC",5,875,0.00%,"64,585","200,912","47,106,143",20201228,12
