陰德克斯,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額,week,Month
0,阿根廷,被告,2020/10/16,車庫娛樂股份有限公司,"FILM FACTORY ENTERTAINMENT, S.L.",4,83,-5.68%,"18,205",171,"37,780",20201019,10
1,阿根廷,被告,2020/10/16,車庫娛樂股份有限公司,"FILM FACTORY ENTERTAINMENT, S.L.",3,9,-89.16%,"1,750",180,"39,530",20201026,10
2,阿根廷,被告,2020/10/16,車庫娛樂股份有限公司,"FILM FACTORY ENTERTAINMENT, S.L.",1,1,-88.89%,230,181,"39,760",20201102,11
3,阿根廷,被告,2020/10/16,車庫娛樂股份有限公司,"FILM FACTORY ENTERTAINMENT, S.L.",1,200,0.00%,"40,000",381,"79,760",20201123,11
