陰德克斯,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額,week,Month
0,南韓,特務搞飛機,2020/09/11,采昌國際多媒體股份有限公司,FREEWAY ENTERTAINMENT KFT.,63,"37,463",23.03%,"8,795,843","74,214","17,448,291",20200914,9
1,南韓,特務搞飛機,2020/09/11,采昌國際多媒體股份有限公司,FREEWAY ENTERTAINMENT KFT.,63,"21,383",-42.85%,"5,080,233","95,547","22,515,864",20200921,9
2,南韓,特務搞飛機,2020/09/11,采昌國際多媒體股份有限公司,FREEWAY ENTERTAINMENT KFT.,63,"12,780",-40.23%,"3,045,988","108,327","25,561,852",20200928,9
3,南韓,特務搞飛機,2020/09/11,采昌國際多媒體股份有限公司,FREEWAY ENTERTAINMENT KFT.,61,"3,411",-73.31%,"795,441","111,738","26,357,293",20201005,10
4,南韓,特務搞飛機,2020/09/11,采昌國際多媒體股份有限公司,FREEWAY ENTERTAINMENT KFT.,37,946,-72.27%,"215,420","112,684","26,572,713",20201012,10
5,南韓,特務搞飛機,2020/09/11,采昌國際多媒體股份有限公司,FREEWAY ENTERTAINMENT KFT.,13,312,-67.02%,"68,745","112,996","26,641,458",20201019,10
6,南韓,特務搞飛機,2020/09/11,采昌國際多媒體股份有限公司,FREEWAY ENTERTAINMENT KFT.,5,41,-86.86%,"8,830","113,037","26,650,288",20201026,10
7,南韓,特務搞飛機,2020/09/11,采昌國際多媒體股份有限公司,FREEWAY ENTERTAINMENT KFT.,1,7,-82.93%,"1,440","113,044","26,651,728",20201102,11
8,南韓,特務搞飛機,2020/09/11,采昌國際多媒體股份有限公司,FREEWAY ENTERTAINMENT KFT.,1,4,-42.86%,820,"113,048","26,652,548",20201109,11
