陰德克斯,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額,week,Month
0,日本,最後的情書,2020/08/21,薩摩亞商雄讚股份有限公司台灣分公司,"Toho Co., Ltd.",14,"1,389",0.58%,"320,345","2,770","642,909",20200824,8
1,日本,最後的情書,2020/08/21,薩摩亞商雄讚股份有限公司台灣分公司,"Toho Co., Ltd.",12,487,-64.94%,"112,315","3,257","755,224",20200831,8
2,日本,最後的情書,2020/8/21,薩摩亞商雄讚股份有限公司台灣分公司,"Toho Co., Ltd.",4,176,-63.86%,"39,805","3,433","795,029",20200907,9
3,日本,最後的情書,2020/08/21,薩摩亞商雄讚股份有限公司台灣分公司,"Toho Co., Ltd.",2,72,-59.09%,"16,045","3,505","811,074",20200914,9
4,日本,最後的情書,2020/08/21,薩摩亞商雄讚股份有限公司台灣分公司,"Toho Co., Ltd.",1,19,-73.61%,"4,100","3,524","815,174",20200921,9
5,日本,最後的情書,2020/08/21,薩摩亞商雄讚股份有限公司台灣分公司,"Toho Co., Ltd.",3,220,0.00%,"16,840","3,744","832,014",20201012,10
6,日本,最後的情書,2020/08/21,薩摩亞商雄讚股份有限公司台灣分公司,"Toho Co., Ltd.",5,444,101.82%,"36,965","4,188","868,979",20201019,10
7,日本,最後的情書,2020/08/21,薩摩亞商雄讚股份有限公司台灣分公司,"Toho Co., Ltd.",6,366,-17.57%,"33,070","4,554","902,049",20201026,10
8,日本,最後的情書,2020/08/21,薩摩亞商雄讚股份有限公司台灣分公司,"Toho Co., Ltd.",6,205,-43.99%,"21,665","4,759","923,714",20201102,11
9,日本,最後的情書,2020/08/21,薩摩亞商雄讚股份有限公司台灣分公司,"Toho Co., Ltd.",3,61,-70.24%,"7,920","4,820","931,634",20201109,11
10,日本,最後的情書,2020/08/21,薩摩亞商雄讚股份有限公司台灣分公司,"Toho Co., Ltd.",1,10,-83.61%,"1,400","4,830","933,034",20201116,11
