陰德克斯,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額,week,Month
0,中華民國,海霧,2020/09/11,海樂影業股份有限公司,"松露文化創意有限公司,愛奇藝電影集團香港有限公司,台灣太陽娛樂有限公司,非凡娛樂製作有限公司,兔將創意影業股份有限公司",85,"17,162",-26.36%,"3,894,800","40,467","9,264,059",20200914,9
1,中華民國,海霧,2020/09/11,海樂影業股份有限公司,"松露文化創意有限公司,愛奇藝電影集團香港有限公司,台灣太陽娛樂有限公司,非凡娛樂製作有限公司,兔將創意影業股份有限公司",79,"6,565",-61.75%,"1,474,340","47,032","10,738,399",20200921,9
2,中華民國,海霧,2020/09/17,海樂影業股份有限公司,"松露文化創意有限公司,愛奇藝電影集團香港有限公司,台灣太陽娛樂有限公司,非凡娛樂製作有限公司,兔將創意影業股份有限公司",72,"2,276",-65.33%,"509,964","49,308","11,248,363",20200928,9
3,中華民國,海霧,2020/09/17,海樂影業股份有限公司,"松露文化創意有限公司,愛奇藝電影集團香港有限公司,台灣太陽娛樂有限公司,非凡娛樂製作有限公司,兔將創意影業股份有限公司",28,454,-80.05%,"98,110","49,762","11,346,473",20201005,10
4,中華民國,海霧,2020/09/17,海樂影業股份有限公司,"松露文化創意有限公司,愛奇藝電影集團香港有限公司,台灣太陽娛樂有限公司,非凡娛樂製作有限公司,兔將創意影業股份有限公司",11,73,-83.92%,"16,390","49,835","11,362,863",20201012,10
5,中華民國,海霧,2020/09/17,海樂影業股份有限公司,"松露文化創意有限公司,愛奇藝電影集團香港有限公司,台灣太陽娛樂有限公司,非凡娛樂製作有限公司,兔將創意影業股份有限公司",3,138,89.04%,"32,015","49,973","11,394,878",20201019,10
6,中華民國,海霧,2020/09/17,海樂影業股份有限公司,"松露文化創意有限公司,愛奇藝電影集團香港有限公司,台灣太陽娛樂有限公司,非凡娛樂製作有限公司,兔將創意影業股份有限公司",5,330,0.00%,"26,935","50,303","11,421,813",20201109,11
7,中華民國,海霧,2020/09/17,海樂影業股份有限公司,"松露文化創意有限公司,愛奇藝電影集團香港有限公司,台灣太陽娛樂有限公司,非凡娛樂製作有限公司,兔將創意影業股份有限公司",5,433,31.21%,"35,630","50,736","11,457,443",20201116,11
8,中華民國,海霧,2020/09/17,海樂影業股份有限公司,"松露文化創意有限公司,愛奇藝電影集團香港有限公司,台灣太陽娛樂有限公司,非凡娛樂製作有限公司,兔將創意影業股份有限公司",5,265,-38.80%,"20,545","51,001","11,477,988",20201123,11
9,中華民國,海霧,2020/09/17,海樂影業股份有限公司,"松露文化創意有限公司,愛奇藝電影集團香港有限公司,台灣太陽娛樂有限公司,非凡娛樂製作有限公司,兔將創意影業股份有限公司",5,133,-49.81%,"9,450","51,134","11,487,438",20201130,11
10,中華民國,海霧,2020/09/17,海樂影業股份有限公司,"松露文化創意有限公司,愛奇藝電影集團香港有限公司,台灣太陽娛樂有限公司,非凡娛樂製作有限公司,兔將創意影業股份有限公司",1,43,-67.67%,"2,365","51,177","11,489,803",20201207,12
11,中華民國,海霧,2020/09/17,海樂影業股份有限公司,"松露文化創意有限公司,愛奇藝電影集團香港有限公司,台灣太陽娛樂有限公司,非凡娛樂製作有限公司,兔將創意影業股份有限公司",1,17,-60.47%,935,"51,194","11,490,738",20201214,12
12,中華民國,海霧,2020/09/17,海樂影業股份有限公司,"松露文化創意有限公司,愛奇藝電影集團香港有限公司,台灣太陽娛樂有限公司,非凡娛樂製作有限公司,兔將創意影業股份有限公司",1,43,152.94%,"4,670","51,237","11,495,408",20201221,12
13,中華民國,海霧,2020/09/17,海樂影業股份有限公司,"松露文化創意有限公司,愛奇藝電影集團香港有限公司,台灣太陽娛樂有限公司,非凡娛樂製作有限公司,兔將創意影業股份有限公司",1,68,58.14%,"7,580","51,305","11,502,988",20201228,12
