陰德克斯,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額,week,Month
0,英國,決戰最前線,2020/06/12,天馬行空數位有限公司,METRO INTERNATIONAL ENTERTAINMENT LIMITED,24,"1,197",-16.24%,"271,517","2,626","602,392",20200615,6
1,英國,決戰最前線,2020/06/12,天馬行空數位有限公司,METRO INTERNATIONAL ENTERTAINMENT LIMITED,23,173,-85.55%,"39,400","2,799","641,792",20200622,6
2,英國,決戰最前線,2020/06/12,天馬行空數位有限公司,METRO INTERNATIONAL ENTERTAINMENT LIMITED,3,18,-89.60%,"4,130","2,817","645,922",20200629,6
3,英國,決戰最前線,2020/06/12,天馬行空數位有限公司,METRO INTERNATIONAL ENTERTAINMENT LIMITED,1,38,0.00%,"6,080","2,855","652,002",20200720,7
4,英國,決戰最前線,2020/06/12,天馬行空數位有限公司,METRO INTERNATIONAL ENTERTAINMENT LIMITED,1,75,97.37%,"11,490","2,930","663,492",20200727,7
5,英國,決戰最前線,2020/06/12,天馬行空數位有限公司,METRO INTERNATIONAL ENTERTAINMENT LIMITED,2,75,0.00%,"11,770","3,005","675,262",20200803,8
6,英國,決戰最前線,2020/06/12,天馬行空數位有限公司,METRO INTERNATIONAL ENTERTAINMENT LIMITED,3,95,26.67%,"13,850","3,100","689,112",20200810,8
7,英國,決戰最前線,2020/06/12,天馬行空數位有限公司,METRO INTERNATIONAL ENTERTAINMENT LIMITED,5,817,760.00%,"47,820","3,917","736,932",20200817,8
8,英國,決戰最前線,2020/06/12,天馬行空數位有限公司,METRO INTERNATIONAL ENTERTAINMENT LIMITED,5,"1,565",91.55%,"85,890","5,482","822,822",20200824,8
9,英國,決戰最前線,2020/06/12,天馬行空數位有限公司,METRO INTERNATIONAL ENTERTAINMENT LIMITED,7,622,-60.26%,"48,915","6,104","871,737",20200831,8
10,英國,決戰最前線,2020/6/12,天馬行空數位有限公司,METRO INTERNATIONAL ENTERTAINMENT LIMITED,4,415,-33.28%,"37,925","6,519","909,662",20200907,9
11,英國,決戰最前線,2020/06/12,天馬行空數位有限公司,METRO INTERNATIONAL ENTERTAINMENT LIMITED,3,138,-66.75%,"12,480","6,657","922,142",20200914,9
12,英國,決戰最前線,2020/06/12,天馬行空數位有限公司,METRO INTERNATIONAL ENTERTAINMENT LIMITED,1,41,-70.29%,"3,550","6,698","925,692",20200921,9
