陰德克斯,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額,week,Month
0,法國,真實,2020/04/10,車庫娛樂股份有限公司,GAGA CORPORATION,37,"1,372",12.74%,"301,374","2,589","561,483",20200413,4
1,法國,真實,2020/04/10,車庫娛樂股份有限公司,GAGA CORPORATION,27,538,-60.79%,"115,643","3,127","677,126",20200420,4
2,法國,真實,2020/04/10,車庫娛樂股份有限公司,GAGA CORPORATION,13,213,-60.41%,"45,700","3,340","722,826",20200427,4
3,法國,真實,2020/04/10,車庫娛樂股份有限公司,GAGA CORPORATION,1,78,-63.38%,"16,610","3,418","739,436",20200504,5
4,法國,真實,2020/04/10,車庫娛樂股份有限公司,GAGA CORPORATION,1,74,-5.13%,"15,225","3,492","754,661",20200511,5
5,法國,真實,2020/04/10,車庫娛樂股份有限公司,GAGA CORPORATION,1,31,-58.11%,"6,560","3,523","761,221",20200518,5
