陰德克斯,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額,week,Month
0,南韓,綠洲：數位經典版,2020/11/06,光年映畫有限公司,"FINECUT CO., LTD.",10,"1,219",84.70%,"264,400","1,879","407,485",20201109,11
1,南韓,綠洲：數位經典版,2020/11/06,光年映畫有限公司,"FINECUT CO., LTD.",8,862,-29.29%,"195,960","2,741","603,445",20201116,11
2,南韓,綠洲：數位經典版,2020/11/06,光年映畫有限公司,"FINECUT CO., LTD.",5,742,-13.92%,"169,955","3,483","773,400",20201123,11
3,南韓,綠洲：數位經典版,2020/11/06,光年映畫有限公司,"FINECUT CO., LTD.",3,395,-46.77%,"92,850","3,878","866,250",20201130,11
4,南韓,綠洲：數位經典版,2020/11/06,光年映畫有限公司,"FINECUT CO., LTD.",3,337,-14.68%,"77,760","4,215","944,010",20201207,12
5,南韓,綠洲：數位經典版,2020/11/06,光年映畫有限公司,"FINECUT CO., LTD.",2,222,-34.12%,"51,775","4,437","995,785",20201214,12
6,南韓,綠洲：數位經典版,2020/11/06,光年映畫有限公司,"FINECUT CO., LTD.",1,107,-51.80%,"25,930","4,544","1,021,715",20201221,12
7,南韓,綠洲：數位經典版,2020/11/06,光年映畫有限公司,"FINECUT CO., LTD.",2,38,-64.49%,"8,950","4,582","1,030,665",20201228,12
