陰德克斯,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額,week,Month
0,日本,鳴鳥不飛：烏雲密布,2020/02/27,采昌國際多媒體股份有限公司,SPO Entertainment Inc.,12,"9,097",-15.80%,"2,227,076","19,901","4,813,448",20200302,3
1,日本,鳴鳥不飛：烏雲密布,2020/02/27,采昌國際多媒體股份有限公司,SPO Entertainment Inc.,13,"4,872",-46.44%,"1,206,065","24,773","6,019,513",20200309,3
2,日本,鳴鳥不飛：烏雲密布,2020/02/27,采昌國際多媒體股份有限公司,SPO Entertainment Inc.,13,"1,963",-59.71%,"484,560","26,736","6,504,073",20200316,3
3,日本,鳴鳥不飛：烏雲密布,2020/02/27,采昌國際多媒體股份有限公司,SPO Entertainment Inc.,13,936,-52.32%,"230,729","27,672","6,734,802",20200323,3
4,日本,鳴鳥不飛：烏雲密布,2020/02/27,采昌國際多媒體股份有限公司,SPO Entertainment Inc.,12,529,-43.48%,"128,425","28,201","6,863,227",20200330,3
5,日本,鳴鳥不飛：烏雲密布,2020/02/27,采昌國際多媒體股份有限公司,SPO Entertainment Inc.,11,133,-74.86%,"31,645","28,334","6,894,872",20200406,4
6,日本,鳴鳥不飛：烏雲密布,2020/02/27,采昌國際多媒體股份有限公司,SPO Entertainment Inc.,8,94,-29.32%,"23,530","28,428","6,918,402",20200413,4
7,日本,鳴鳥不飛：烏雲密布,2020/02/27,采昌國際多媒體股份有限公司,SPO Entertainment Inc.,1,12,0.00%,"3,340","28,440","6,921,742",20200427,4
8,日本,鳴鳥不飛：烏雲密布,2020/02/27,采昌國際多媒體股份有限公司,SPO Entertainment Inc.,1,4,-66.67%,"1,125","28,444","6,922,867",20200504,5
9,日本,鳴鳥不飛：烏雲密布,2020/02/27,采昌國際多媒體股份有限公司,SPO Entertainment Inc.,1,3,-25.00%,750,"28,447","6,923,617",20200511,5
10,日本,鳴鳥不飛：烏雲密布,2020/02/27,采昌國際多媒體股份有限公司,SPO Entertainment Inc.,8,187,0.00%,"41,425","28,634","6,965,042",20200601,6
11,日本,鳴鳥不飛：烏雲密布,2020/02/27,采昌國際多媒體股份有限公司,SPO Entertainment Inc.,8,175,-6.42%,"39,260","28,809","7,004,302",20200608,6
12,日本,鳴鳥不飛：烏雲密布,2020/02/27,采昌國際多媒體股份有限公司,SPO Entertainment Inc.,7,106,-39.43%,"22,695","28,915","7,026,997",20200615,6
13,日本,鳴鳥不飛：烏雲密布,2020/02/27,采昌國際多媒體股份有限公司,SPO Entertainment Inc.,5,28,-73.58%,"5,990","28,943","7,032,987",20200622,6
14,日本,鳴鳥不飛：烏雲密布,2020/02/27,采昌國際多媒體股份有限公司,SPO Entertainment Inc.,1,3,-89.29%,590,"28,946","7,033,577",20200629,6
15,日本,鳴鳥不飛：烏雲密布,2020/02/27,采昌國際多媒體股份有限公司,SPO Entertainment Inc.,2,10,233.33%,"2,181","28,956","7,035,758",20200706,7
16,日本,鳴鳥不飛：烏雲密布,2020/02/27,采昌國際多媒體股份有限公司,SPO Entertainment Inc.,2,6,0.00%,"1,300","28,962","7,037,058",20200824,8
