陰德克斯,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額,week,Month
0,日本,電影哆啦A夢：大雄的新恐龍,2020/09/25,車庫娛樂股份有限公司,"TOHO CO., LTD.",55,"59,688",76.55%,"14,051,575","93,496","21,975,262",20200928,9
1,日本,電影哆啦A夢：大雄的新恐龍,2020/09/25,車庫娛樂股份有限公司,"TOHO CO., LTD.",56,"34,476",-42.24%,"8,118,347","127,972","30,093,609",20201005,10
2,日本,電影哆啦A夢：大雄的新恐龍,2020/09/25,車庫娛樂股份有限公司,"TOHO CO., LTD.",55,"14,333",-58.43%,"3,348,326","142,305","33,441,935",20201012,10
3,日本,電影哆啦A夢：大雄的新恐龍,2020/09/25,車庫娛樂股份有限公司,"TOHO CO., LTD.",55,"7,941",-44.60%,"1,851,908","150,246","35,293,843",20201019,10
4,日本,電影哆啦A夢：大雄的新恐龍,2020/09/25,車庫娛樂股份有限公司,"TOHO CO., LTD.",45,"3,452",-56.53%,"804,965","153,698","36,098,808",20201026,10
5,日本,電影哆啦A夢：大雄的新恐龍,2020/09/25,車庫娛樂股份有限公司,"TOHO CO., LTD.",32,"1,845",-46.55%,"432,620","155,543","36,531,428",20201102,11
6,日本,電影哆啦A夢：大雄的新恐龍,2020/09/25,車庫娛樂股份有限公司,"TOHO CO., LTD.",19,"1,399",-24.17%,"325,543","156,942","36,856,971",20201109,11
7,日本,電影哆啦A夢：大雄的新恐龍,2020/09/25,車庫娛樂股份有限公司,"TOHO CO., LTD.",10,789,-43.60%,"176,924","157,731","37,033,895",20201116,11
8,日本,電影哆啦A夢：大雄的新恐龍,2020/09/25,車庫娛樂股份有限公司,"TOHO CO., LTD.",7,264,-66.54%,"59,810","157,995","37,093,705",20201123,11
9,日本,電影哆啦A夢：大雄的新恐龍,2020/09/25,車庫娛樂股份有限公司,"TOHO CO., LTD.",3,342,29.55%,"70,330","158,337","37,164,035",20201130,11
10,日本,電影哆啦A夢：大雄的新恐龍,2020/09/25,車庫娛樂股份有限公司,"TOHO CO., LTD.",1,70,-79.53%,"15,645","158,407","37,179,680",20201207,12
11,日本,電影哆啦A夢：大雄的新恐龍,2020/09/25,車庫娛樂股份有限公司,"TOHO CO., LTD.",1,47,-32.86%,"11,030","158,454","37,190,710",20201214,12
12,日本,電影哆啦A夢：大雄的新恐龍,2020/09/25,車庫娛樂股份有限公司,"TOHO CO., LTD.",1,27,-42.55%,"6,230","158,481","37,196,940",20201221,12
13,日本,電影哆啦A夢：大雄的新恐龍,2020/09/25,車庫娛樂股份有限公司,"TOHO CO., LTD.",2,59,118.52%,"11,750","158,540","37,208,690",20201228,12
