陰德克斯,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額,week,Month
0,美國,超危險駕駛,2020/07/29,車庫娛樂股份有限公司,FREEWAY ENTERTAINMENT KFT.,59,"27,021",-38.43%,"6,555,007","70,910","17,169,272",20200803,8
1,美國,超危險駕駛,2020/07/29,車庫娛樂股份有限公司,FREEWAY ENTERTAINMENT KFT.,58,"8,574",-68.27%,"2,083,028","79,484","19,252,300",20200810,8
2,美國,超危險駕駛,2020/07/29,車庫娛樂股份有限公司,FREEWAY ENTERTAINMENT KFT.,43,"2,476",-71.12%,"590,882","81,960","19,843,182",20200817,8
3,美國,超危險駕駛,2020/07/29,車庫娛樂股份有限公司,FREEWAY ENTERTAINMENT KFT.,24,609,-75.40%,"134,800","82,569","19,977,982",20200824,8
4,美國,超危險駕駛,2020/07/29,車庫娛樂股份有限公司,FREEWAY ENTERTAINMENT KFT.,4,29,-95.24%,"7,765","82,598","19,985,747",20200831,8
