陰德克斯,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額,week,Month
0,美國,變身特務,2020/01/22,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",97,"77,843",11.35%,"17,787,206","147,754","33,821,213",20200127,1
1,美國,變身特務,2020/01/22,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",98,"19,659",-74.75%,"4,453,321","167,411","38,275,464",20200203,2
2,美國,變身特務,2020/01/22,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",68,524,-16.16%,"117,626","178,673","40,825,104",20200210,2
3,美國,變身特務,2020/01/22,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",72,"3,090",-69.45%,"706,354","180,614","41,271,537",20200217,2
4,美國,變身特務,2020/01/22,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",30,301,-90.26%,"69,375","180,915","41,340,912",20200224,2
5,美國,變身特務,2020/01/22,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",2,92,0.00%,"10,240","181,007","41,351,152",20200330,3
6,美國,變身特務,2020/01/22,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",4,209,127.17%,"15,450","181,216","41,366,602",20200406,4
7,美國,變身特務,2020/01/22,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",4,294,40.67%,"18,680","181,510","41,385,282",20200413,4
8,美國,變身特務,2020/01/22,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",3,87,-70.41%,"5,015","181,597","41,390,297",20200420,4
9,美國,變身特務,2020/01/22,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",1,14,-83.91%,700,"181,611","41,390,997",20200427,4
10,美國,變身特務,2020/01/22,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",1,82,0.00%,"16,400","181,693","41,407,397",20200601,6
11,美國,變身特務,2020/01/22,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",1,20,-75.61%,"3,200","181,713","41,410,597",20200608,6
12,美國,變身特務,2020/01/22,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",2,50,150.00%,"8,080","181,763","41,418,677",20200615,6
13,美國,變身特務,2020/01/22,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",1,22,-56.00%,"3,360","181,785","41,422,037",20200622,6
14,美國,變身特務,2020/01/22,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",1,14,-36.36%,"2,040","181,799","41,424,077",20200629,6
15,美國,變身特務,2020/01/22,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",1,9,-35.71%,"1,260","181,808","41,425,337",20200706,7
16,美國,變身特務,2020/01/22,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",1,37,0.00%,"3,880","181,845","41,429,217",20200720,7
17,美國,變身特務,2020/01/22,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",1,72,94.59%,"8,000","181,917","41,437,217",20200727,7
18,美國,變身特務,2020/01/22,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",1,22,-69.44%,"2,500","181,939","41,439,717",20200803,8
19,美國,變身特務,2020/01/22,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",1,8,0.00%,880,"181,947","41,440,597",20200817,8
