陰德克斯,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額,week,Month
0,日本,亂鶯,2020/11/01,威秀影城股份有限公司,Village INC.,2,20,150.00%,"9,540",28,"13,560",20201102,11
1,日本,亂鶯,2020/11/01,威秀影城股份有限公司,Village INC.,1,14,-30.00%,"6,480",42,"20,040",20201109,11
2,日本,亂鶯,2020/11/01,威秀影城股份有限公司,Village INC.,1,0,-100.00%,0,42,"20,040",20201116,11
3,日本,亂鶯,2020/11/01,威秀影城股份有限公司,Village INC.,1,33,"3,300.00%","15,270",75,"35,310",20201123,11
4,日本,亂鶯,2020/11/01,威秀影城股份有限公司,Village INC.,3,39,18.18%,"18,630",114,"53,940",20201130,11
5,日本,亂鶯,2020/11/01,威秀影城股份有限公司,Village INC.,2,21,-46.15%,"10,350",135,"64,290",20201207,12
6,日本,亂鶯,2020/11/01,威秀影城股份有限公司,Village INC.,1,3,-85.71%,"1,050",138,"65,340",20201214,12
7,日本,亂鶯,2020/11/01,威秀影城股份有限公司,Village INC.,2,10,233.33%,"4,470",148,"69,810",20201221,12
