陰德克斯,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額,week,Month
0,日本,感官世界,2020/10/30,傳影互動股份有限公司,ARGOS FILMS SA,26,"3,108",7.84%,"699,363","5,990","1,383,391",20201102,11
1,日本,感官世界,2020/10/30,傳影互動股份有限公司,ARGOS FILMS SA,23,"1,409",-54.67%,"312,925","7,399","1,696,316",20201109,11
2,日本,感官世界,2020/10/30,傳影互動股份有限公司,ARGOS FILMS SA,11,681,-51.67%,"151,105","8,080","1,847,421",20201116,11
3,日本,感官世界,2020/10/30,傳影互動股份有限公司,ARGOS FILMS SA,5,290,-57.42%,"64,640","8,370","1,912,061",20201123,11
4,日本,感官世界,2020/10/30,傳影互動股份有限公司,ARGOS FILMS SA,2,125,-56.90%,"29,380","8,495","1,941,441",20201130,11
5,日本,感官世界,2020/10/30,傳影互動股份有限公司,ARGOS FILMS SA,1,29,-76.80%,"6,875","8,524","1,948,316",20201207,12
