陰德克斯,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額,week,Month
0,美國,愛情列車長,2020/10/08,天馬行空數位有限公司,TV Co.Srl,11,422,-19.62%,"86,015",947,"193,297",20201012,10
1,美國,愛情列車長,2020/10/08,天馬行空數位有限公司,TV Co.Srl,5,118,-72.04%,"23,595","1,065","216,892",20201019,10
2,美國,愛情列車長,2020/10/08,天馬行空數位有限公司,TV Co.Srl,2,13,-88.98%,"2,510","1,078","219,402",20201026,10
3,美國,愛情列車長,2020/10/08,天馬行空數位有限公司,TV Co.Srl,1,24,0.00%,"3,840","1,102","223,242",20201116,11
4,美國,愛情列車長,2020/10/08,天馬行空數位有限公司,TV Co.Srl,2,64,166.67%,"9,960","1,166","233,202",20201123,11
5,美國,愛情列車長,2020/10/08,天馬行空數位有限公司,TV Co.Srl,2,52,-18.75%,"7,750","1,218","240,952",20201130,11
6,美國,愛情列車長,2020/10/08,天馬行空數位有限公司,TV Co.Srl,2,51,-1.92%,"5,070","1,269","246,022",20201207,12
7,美國,愛情列車長,2020/10/08,天馬行空數位有限公司,TV Co.Srl,3,81,58.82%,"7,570","1,350","253,592",20201214,12
8,美國,愛情列車長,2020/10/08,天馬行空數位有限公司,TV Co.Srl,2,62,-23.46%,"5,820","1,412","259,412",20201221,12
9,美國,愛情列車長,2020/10/08,天馬行空數位有限公司,TV Co.Srl,2,29,-53.23%,"2,830","1,441","262,242",20201228,12
