陰德克斯,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額,week,Month
0,法國,巴黎寂寞不打烊,2020/05/22,海樂影業股份有限公司,STUDIOCANAL,27,"1,212",4.48%,"263,292","2,372","517,073",20200525,5
1,法國,巴黎寂寞不打烊,2020/05/22,海樂影業股份有限公司,STUDIOCANAL,19,426,-64.85%,"93,538","2,798","610,611",20200601,6
2,法國,巴黎寂寞不打烊,2020/05/22,海樂影業股份有限公司,STUDIOCANAL,4,140,-67.14%,"30,845","2,938","641,456",20200608,6
3,法國,巴黎寂寞不打烊,2020/05/22,海樂影業股份有限公司,STUDIOCANAL,1,38,-72.86%,"7,380","2,976","648,836",20200615,6
4,法國,巴黎寂寞不打烊,2020/05/22,海樂影業股份有限公司,STUDIOCANAL,2,75,0.00%,"8,190","3,051","657,026",20200831,8
5,法國,巴黎寂寞不打烊,2020/5/22,海樂影業股份有限公司,STUDIOCANAL,2,114,52.00%,"12,640","3,165","669,666",20200907,9
6,法國,巴黎寂寞不打烊,2020/05/22,海樂影業股份有限公司,STUDIOCANAL,3,228,100.00%,"21,980","3,393","691,646",20200914,9
7,法國,巴黎寂寞不打烊,2020/05/22,海樂影業股份有限公司,STUDIOCANAL,2,319,39.91%,"30,790","3,712","722,436",20200921,9
8,法國,巴黎寂寞不打烊,2020/05/22,海樂影業股份有限公司,STUDIOCANAL,1,360,12.85%,"33,960","4,072","756,396",20200928,9
9,法國,巴黎寂寞不打烊,2020/05/22,海樂影業股份有限公司,STUDIOCANAL,1,80,-77.78%,"8,010","4,152","764,406",20201005,10
