陰德克斯,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額,week,Month
0,美國,我的媽媽開GAYBAR,2020/11/13,海樂影業股份有限公司,"Film Mode Entertainment, LLC.",21,772,8.89%,"172,693","1,481","331,208",20201116,11
1,美國,我的媽媽開GAYBAR,2020/11/13,海樂影業股份有限公司,"Film Mode Entertainment, LLC.",13,136,-82.38%,"30,705","1,617","361,913",20201123,11
2,美國,我的媽媽開GAYBAR,2020/11/13,海樂影業股份有限公司,"Film Mode Entertainment, LLC.",1,30,0.00%,"4,800","1,647","366,713",20201221,12
3,美國,我的媽媽開GAYBAR,2020/11/13,海樂影業股份有限公司,"Film Mode Entertainment, LLC.",2,100,233.33%,"15,720","1,747","382,433",20201228,12
