陰德克斯,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額,week,Month
0,德國,親愛陌生人,2020/06/12,鴻聯國際開發股份有限公司,Constantin Film Verleih GmbH,22,"1,479",15.64%,"336,058","2,758","630,488",20200615,6
1,德國,親愛陌生人,2020/06/12,鴻聯國際開發股份有限公司,Constantin Film Verleih GmbH,20,492,-66.73%,"109,363","3,250","739,851",20200622,6
2,德國,親愛陌生人,2020/06/12,鴻聯國際開發股份有限公司,Constantin Film Verleih GmbH,7,145,-70.53%,"32,410","3,395","772,261",20200629,6
3,德國,親愛陌生人,2020/06/12,鴻聯國際開發股份有限公司,Constantin Film Verleih GmbH,2,68,-53.10%,"15,210","3,463","787,471",20200706,7
4,德國,親愛陌生人,2020/06/12,鴻聯國際開發股份有限公司,Constantin Film Verleih GmbH,1,13,-80.88%,"2,795","3,476","790,266",20200713,7
5,德國,親愛陌生人,2020/06/12,鴻聯國際開發股份有限公司,Constantin Film Verleih GmbH,2,25,92.31%,"2,805","3,501","793,071",20200720,7
6,德國,親愛陌生人,2020/06/12,鴻聯國際開發股份有限公司,Constantin Film Verleih GmbH,1,16,-36.00%,"1,760","3,517","794,831",20200727,7
7,德國,親愛陌生人,2020/06/12,鴻聯國際開發股份有限公司,Constantin Film Verleih GmbH,1,502,"3,037.50%","28,170","4,019","823,001",20200803,8
8,德國,親愛陌生人,2020/06/12,鴻聯國際開發股份有限公司,Constantin Film Verleih GmbH,1,"1,120",123.11%,"62,600","5,139","885,601",20200810,8
9,德國,親愛陌生人,2020/06/12,鴻聯國際開發股份有限公司,Constantin Film Verleih GmbH,3,"1,207",7.77%,"68,370","6,346","953,971",20200817,8
10,德國,親愛陌生人,2020/06/12,鴻聯國際開發股份有限公司,Constantin Film Verleih GmbH,3,761,-36.95%,"46,640","7,107","1,000,611",20200824,8
11,德國,親愛陌生人,2020/06/12,鴻聯國際開發股份有限公司,Constantin Film Verleih GmbH,2,92,-87.91%,"9,430","7,199","1,010,041",20200831,8
12,德國,親愛陌生人,2020/6/12,鴻聯國際開發股份有限公司,Constantin Film Verleih GmbH,4,268,191.30%,"15,825","7,467","1,025,866",20200907,9
13,德國,親愛陌生人,2020/06/12,鴻聯國際開發股份有限公司,Constantin Film Verleih GmbH,3,271,1.12%,"16,690","7,738","1,042,556",20200914,9
14,德國,親愛陌生人,2020/06/12,鴻聯國際開發股份有限公司,Constantin Film Verleih GmbH,3,178,-34.32%,"12,480","7,916","1,055,036",20200921,9
15,德國,親愛陌生人,2020/06/12,鴻聯國際開發股份有限公司,Constantin Film Verleih GmbH,3,74,-58.43%,"6,805","7,990","1,061,841",20200928,9
16,德國,親愛陌生人,2020/06/12,鴻聯國際開發股份有限公司,Constantin Film Verleih GmbH,1,7,-90.54%,980,"7,997","1,062,821",20201005,10
