陰德克斯,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額,week,Month
0,法國,閃閃小超人電影版,2020/02/21,采昌國際多媒體股份有限公司,STUDIOCANAL,37,456,-25.49%,"99,315","1,068","237,752",20200224,2
1,法國,閃閃小超人電影版,2020/02/21,采昌國際多媒體股份有限公司,STUDIOCANAL,10,72,-84.21%,"16,090","1,140","253,822",20200302,3
2,法國,閃閃小超人電影版,2020/02/21,采昌國際多媒體股份有限公司,STUDIOCANAL,5,10,-86.11%,"2,090","1,150","255,912",20200309,3
3,法國,閃閃小超人電影版,2020/02/21,采昌國際多媒體股份有限公司,STUDIOCANAL,1,8,-20.00%,"1,710","1,158","257,622",20200316,3
4,法國,閃閃小超人電影版,2020/02/21,采昌國際多媒體股份有限公司,STUDIOCANAL,1,0,-100.00%,0,"1,158","257,622",20200323,3
