陰德克斯,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額,week,Month
0,日本,我們仍未知道那天所看見的花名 劇場版,2020/07/31,車庫娛樂股份有限公司,RELAY MOTION KFT.,13,"1,362",-16.54%,"334,710","2,994","744,086",20200803,8
1,日本,我們仍未知道那天所看見的花名 劇場版,2020/07/31,車庫娛樂股份有限公司,RELAY MOTION KFT.,12,565,-58.52%,"139,024","3,559","883,110",20200810,8
2,日本,我們仍未知道那天所看見的花名 劇場版,2020/07/31,車庫娛樂股份有限公司,RELAY MOTION KFT.,7,298,-47.26%,"71,220","3,857","954,330",20200817,8
3,日本,我們仍未知道那天所看見的花名 劇場版,2020/07/31,車庫娛樂股份有限公司,RELAY MOTION KFT.,5,121,-59.40%,"28,489","3,978","982,819",20200824,8
4,日本,我們仍未知道那天所看見的花名 劇場版,2020/07/31,車庫娛樂股份有限公司,RELAY MOTION KFT.,1,4,-96.69%,"1,050","3,982","983,869",20200831,8
