國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額,week,Month,tmax,mmax
巴西,中央車站:數位修復版,2020/09/11,光年映畫有限公司,MACT Productions,20,"2,266",38.93%,"494,654","6,944","1,529,130",20200914,9,6944.0,1529130.0
巴西,被遺忘的人生,2020/07/03,海鵬影業有限公司,The Match Factory GmbH,17,"1,484",11.66%,"308,453","3,867","806,541",20200706,7,3867.0,806541.0
巴西,殺戮荒村,2020/09/25,捷傑有限公司,SBS Distribution,16,"1,210",-38.61%,"278,627","3,756","864,847",20200928,9,3756.0,864847.0
