國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額,week,Month,tmax,mmax
哥倫比亞,總是有個人在愛你,2020/12/18,海鵬影業有限公司,KINOLOGY,9,417,4.77%,"83,745",895,"180,415",20201221,12,895.0,180415.0
哥倫比亞,失控少年兵團,2020/02/14,聯影企業股份有限公司,LE PACTE,8,410,13.57%,"87,475",883,"188,770",20200217,2,883.0,188770.0
