國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額,week,Month,tmax,mmax
智利,犬犬風塵,2020/07/03,繁盛映畫有限公司,CAT & Docs,14,"1,191",203.05%,"251,097","2,070","449,796",20200706,7,2070.0,449796.0
智利,他們的自由年代,2020/11/27,東昊影業有限公司,Film Factory,6,132,-6.38%,"28,565",295,"62,880",20201130,11,295.0,62880.0
