國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額,week,Month,tmax,mmax
匈牙利,怵目驚魂28天,2020/12/11,本萃電影有限公司,GEM ENTERTAINMENT KFT,14,617,9.59%,"138,830","1,315","305,660",20201214,12,1315.0,305660.0
匈牙利,日暮,2020/04/24,前景娛樂有限公司,Playtime,13,414,38.46%,"85,365",974,"200,320",20200427,4,974.0,200320.0
