國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額,week,Month,tmax,mmax
愛爾蘭,超完美社區,2020/06/12,車庫娛樂股份有限公司,"XYZ FILMS, LLC",34,"2,059",-18.58%,"483,776","5,249","1,221,055",20200615,6,5249.0,1221055.0
愛爾蘭,血色羔羊,2020/05/29,車庫娛樂股份有限公司,TRUSTNORDISK APS,30,499,-41.22%,"114,262","1,401","325,199",20200601,6,1401.0,325199.0
