國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額,week,Month,tmax,mmax
丹麥,在黑暗中漫舞：20週年數位修復版,2020/01/17,光年映畫有限公司,TRUSTNORDISK APS,13,"1,474",-17.70%,"325,135","4,808","1,067,131",20200120,1,4808.0,1067131.0
丹麥,築夢奇蹟,2020/04/17,木棉花國際股份有限公司,SOLA MEDIA GmbH,51,"1,195",-27.58%,"263,637","4,062","891,646",20200420,4,4062.0,891646.0
