序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額,Week
78,加拿大,哈柏太空之旅 3D,2019/2/4,國際電影事業有限公司,IMAX Corporation,1,9,900.00%,"1,290",587,"84,015",20200127
109,加拿大,哈柏太空之旅 3D,2019/2/4,國際電影事業有限公司,IMAX Corporation,1,16,1600.00%,"2,040",578,"82,725",20200113
100,加拿大,哈柏太空之旅 3D,2019/2/4,國際電影事業有限公司,IMAX Corporation,1,0,-100.00%,0,578,"82,725",20200120
114,加拿大,哈柏太空之旅 3D,2019/2/4,國際電影事業有限公司,IMAX Corporation,1,0,-100.00%,0,562,"80,685",20200106
15,美國,姊魅,2020/1/17,暗光鳥有限公司,RAVEN BANNER ENTERTAINMENT INC.,1,19,-88.13%,"4,040",366,"80,488",20200127
6,美國,姊魅,2020/1/17,暗光鳥有限公司,RAVEN BANNER ENTERTAINMENT INC.,4,160,-14.44%,"34,810",347,"76,448",20200120
106,南韓,霹靂嬌鋒,2019/8/16,車庫娛樂股份有限公司,"CJ ENM CO., LTD.",1,93,0.00%,"21,950",343,"76,100",20200106
19,英國,鬼眼逼人,2020/1/10,暗光鳥有限公司,DEVILWORKS LIMITED,4,22,-82.68%,"4,800",328,"72,169",20200120
9,英國,鬼眼逼人,2020/1/10,暗光鳥有限公司,DEVILWORKS LIMITED,4,127,-29.05%,"27,227",306,"67,369",20200113
17,俄羅斯,岳父受死吧,2020/1/23,麻吉砥加電影有限公司,REEL SUSPECTS S.A.R.L.,3,9,-94.04%,"1,925",291,"66,809",20200203
4,俄羅斯,岳父受死吧,2020/1/23,麻吉砥加電影有限公司,REEL SUSPECTS S.A.R.L.,11,151,15.27%,"35,286",282,"64,884",20200127
95,南韓,霹靂嬌鋒,2019/8/16,車庫娛樂股份有限公司,"CJ ENM CO., LTD.",1,5,0.00%,"1,050",255,"55,200",20200120
22,美國,鬼屋實錄：惡魔之家,2020/1/3,暗光鳥有限公司,KEW MEDIA INTERNATIONAL LIMITED,1,6,-94.17%,"1,320",199,"42,980",20200113
10,美國,鬼屋實錄：惡魔之家,2020/1/3,暗光鳥有限公司,KEW MEDIA INTERNATIONAL LIMITED,4,103,14.44%,"22,320",193,"41,660",20200106
19,中華民國,柯俊雄的電影人生,2020/1/15,駿繕企業有限公司,駿繕企業有限公司,1,2,-96.77%,440,176,"36,192",20200127
