國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額,week,Month,tcnt,mcnt,月累計票房,月累積金額
美國,神力女超人1984,2020/12/17,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,99,"325,487",-15.15%,"82,694,938","709,082","180,233,819",20201221,12,506312.0,128566349.0,"506,312","128,566,349"
日本,鬼滅之刃劇場版 無限列車篇,2020/10/30,木棉花國際股份有限公司,Aniplex Inc.,92,"89,668",-33.25%,"21,186,596","2,319,933","558,706,156",20201207,12,256056.0,60826079.0,"256,056","60,826,079"
美國,魔物獵人,2020/12/04,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,97,"143,988",-15.15%,"34,367,173","313,681","75,304,340",20201207,12,244324.0,57618803.0,"244,324","57,618,803"
美國,靈魂急轉彎,2020/12/25,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",97,"178,697",107.37%,"42,907,723","264,869","63,564,768",20201228,12,178697.0,42907723.0,"178,697","42,907,723"
中華民國,孤味,2020/11/06,彼此影業股份有限公司,彼此影業股份有限公司##秀泰國際娛樂有限公司##中環國際娛樂事業股份有限公司##Midori International Holdings Limited##威威巖娛樂製作有限公司,99,"76,640",-42.53%,"17,774,163","730,726","168,930,380",20201207,12,158881.0,36877791.0,"158,881","36,877,791"
中華民國,同學麥娜絲,2020/11/20,甜蜜生活製作有限公司,甜蜜生活製作有限公司##華文創股份有限公司,75,"20,466",-47.73%,"4,822,649","174,572","40,748,178",20201207,12,36067.0,8465260.0,"36,067","8,465,260"
中華民國,腿,2020/12/24,甜蜜生活製作有限公司,鏡文學股份有限公司##華文創股份有限公司##甜蜜生活製作有限公司,62,"15,121",0.00%,"3,491,502","15,243","3,518,342",20201221,12,26960.0,6244104.0,"26,960","6,244,104"
美國,古魯家族：新石代,2020/11/27,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,92,"13,260",-46.04%,"3,011,388","63,727","14,450,115",20201207,12,24071.0,5415917.0,"24,071","5,415,917"
中華民國,親愛的房客,2020/10/23,牽猴子整合行銷股份有限公司,一期一會影像製作有限公司,50,"11,821",-41.18%,"2,966,865","152,951","36,385,410",20201207,12,20592.0,5008924.0,"20,592","5,008,924"
日本,新解釋．三國志,2020/12/11,車庫娛樂股份有限公司,RELAY MOTION KFT.,54,"11,044",-22.25%,"2,627,648","25,248","6,039,819",20201214,12,18552.0,4473258.0,"18,552","4,473,258"
日本,名偵探柯南：紅之校外旅行 鮮紅篇&戀紅篇,2020/11/20,曼迪傳播有限公司,YOMIURI TELECASTING CORPORATION,57,"10,303",-44.73%,"2,479,950","95,174","22,626,143",20201207,12,17995.0,4373084.0,"17,995","4,373,084"
中華民國,親愛的殺手,2020/12/04,威視股份有限公司,興揚電影有限公司##滿滿額娛樂股份有限公司##海寧鐵幕真文化傳媒有限公司##華映娛樂股份有限公司##十三月股份有限公司##浙江光芒文化傳媒有限公司##海寧夢生影視文化傳媒有限公司##上海牧神文化傳媒有限公司,67,"11,144",7.45%,"2,576,959","22,281","5,177,411",20201207,12,16294.0,3770673.0,"16,294","3,770,673"
日本,尋找小魔女Doremi,2020/11/27,薩摩亞商雄讚股份有限公司台灣分公司,"TOEI ANIMATION CO., LTD.",78,"10,463",-50.02%,"2,469,378","53,951","12,755,906",20201207,12,15530.0,3673272.0,"15,530","3,673,272"
美國,求婚好意外,2020/12/11,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,89,"9,653",-9.37%,"2,226,360","20,304","4,687,117",20201214,12,15014.0,3489318.0,"15,014","3,489,318"
日本,信用詐欺師JP:公主篇,2020/12/11,海樂影業股份有限公司,PONY CANYON INC.,46,"8,534",-0.74%,"2,008,760","17,308","4,115,834",20201214,12,14038.0,3315580.0,"14,038","3,315,580"
中華民國,刻在你心底的名字,2020/09/30,氧氣電影有限公司,滿滿額娛樂股份有限公司##氧氣電影有限公司##百聿數碼創意股份有限公司##中環國際娛樂事業股份有限公司##三皇生物科技股份有限公司,39,"7,971",-14.34%,"1,892,988","433,670","101,833,823",20201207,12,13646.0,3259761.0,"13,646","3,259,761"
中華民國,消失的情人節,2020/09/18,華文創股份有限公司,華文創股份有限公司##影一製作所股份有限公司##美商華納兄弟（遠東）股份有限公司台灣分公司##國賓影城股份有限公司##威像電影有限公司,49,"5,326",-49.55%,"1,248,220","134,852","31,442,561",20201207,12,8152.0,1891569.0,"8,152","1,891,569"
中華民國,十二夜2：回到第零天,2020/11/27,牽猴子整合行銷股份有限公司,縫影子宇宙有限公司##牽猴子整合行銷股份有限公司##貝殼放大股份有限公司,52,"3,260",-44.15%,"734,785","13,787","3,082,545",20201207,12,6078.0,1371274.0,"6,078","1,371,274"
美國,再見街貓BOB,2020/12/10,采昌國際多媒體股份有限公司,Bos Entertainment Inc. dba The Exchange,58,"3,331",-46.56%,"791,150","9,564","2,281,546",20201214,12,4384.0,1034116.0,"4,384","1,034,116"
南韓,瑜珈怨,2020/12/04,車庫娛樂股份有限公司,RELAY MOTION KFT.,47,"3,027",-17.36%,"706,773","6,690","1,580,765",20201207,12,3458.0,803668.0,"3,458","803,668"
