國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額,week,Month,tcnt,月累計票房
美國,TENET天能,2020/08/27,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,100,"390,297",12.63%,"98,333,935","736,833","185,426,805",20200831,8,390297.0,"390,297"
中華民國,可不可以，你也剛好喜歡我,2020/03/12,華映娛樂股份有限公司,華映娛樂股份有限公司##中環國際娛樂事業股份有限公司##星泰國際娛樂股份有限公司##樂到家國際娛樂股份有限公司##新線索(北京)影視投資有限公司##艾迪昇傳播事業有限公司##滿滿額娛樂股份有限公司##百聿數碼創意股份有限公司##馬棋朵數位影像製作有限公司,98,"16,837",0.00%,"3,817,914","17,213","3,905,194",20200810,8,279566.0,"279,566"
美國,天劫倒數,2020/08/12,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,"STX Productions, LLC",82,"127,101",-5.93%,"30,675,498","262,220","63,320,795",20200817,8,216168.0,"216,168"
南韓,屍速列車：感染半島,2020/07/15,車庫娛樂股份有限公司,CONTENTS PANDA,61,"97,017",-55.01%,"24,213,250","1,335,148","331,977,088",20200803,8,195871.0,"195,871"
中華民國,怪胎,2020/08/05,牽猴子整合行銷股份有限公司,牽猴子整合行銷股份有限公司##滿滿額娛樂股份有限公司##台灣大哥大股份有限公司,98,"56,876",144.93%,"13,209,688","80,097","18,575,214",20200810,8,160828.0,"160,828"
中華民國,馗降：粽邪2,2020/08/20,華影國際影藝有限公司,華影國際影藝有限公司##麻吉砥加電影有限公司##滿滿額娛樂股份有限公司##聯聯看娛樂文化股份有限公司##識富天使會,1,250,-24.24%,"47,500",580,"120,100",20200824,8,111815.0,"111,815"
南韓,翻供,2020/07/22,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,93,"33,752",-25.99%,"7,860,164","122,484","28,192,260",20200803,8,69983.0,"69,983"
日本,角落小夥伴電影版：魔法繪本裡的新朋友,2020/07/03,威視股份有限公司,"ASMIK ACE, INC.",64,"21,614",-53.27%,"4,991,556","305,428","71,348,661",20200803,8,54945.0,"54,945"
日本,Fate_stay night [Heaven's Feel] Ⅲ春櫻之歌,2020/08/15,曼迪傳播有限公司,Aniplex Inc.,18,"32,937",17.99%,"8,463,234","60,851","15,603,726",20200817,8,52479.0,"52,479"
南韓,鋼鐵雨：深潛行動,2020/07/29,香港商甲上娛樂有限公司台灣分公司,"LOTTE CULTUREWORKS CO., LTD.",92,"28,212",-23.40%,"6,461,817","65,041","14,869,271",20200803,8,47624.0,"47,624"
美國,超危險駕駛,2020/07/29,車庫娛樂股份有限公司,FREEWAY ENTERTAINMENT KFT.,59,"27,021",-38.43%,"6,555,007","70,910","17,169,272",20200803,8,38709.0,"38,709"
德國,北海小英雄,2020/07/31,華映娛樂股份有限公司,Studio 100 film,83,"13,472",-8.68%,"2,998,101","28,225","6,325,740",20200803,8,33200.0,"33,200"
美國,變種人,2020/08/27,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",93,"25,240",-45.43%,"5,822,499","71,492","16,467,409",20200831,8,25240.0,"25,240"
中華民國,打噴嚏,2020/07/14,禾豐九路娛樂有限公司,禾豐九路娛樂有限公司##群星瑞智國際藝能股份有限公司##天下一電影製作有限公司,92,"15,257",-57.65%,"3,525,782","195,621","45,288,978",20200803,8,22210.0,"22,210"
美國,追殺艾娃,2020/08/05,車庫娛樂股份有限公司,"GEM ENTERTAINMENT, KFT.",57,"15,897",-51.44%,"3,836,627","48,636","11,666,085",20200810,8,21831.0,"21,831"
南韓,魔鬼對決,2020/08/12,采昌國際多媒體股份有限公司,FREEWAY ENTERTAINMENT KFT.,84,"15,164",-9.73%,"3,544,390","31,962","7,432,818",20200817,8,20994.0,"20,994"
新加坡,初心,2020/08/21,牽猴子整合行銷股份有限公司,AMOK PTE. LTD,47,"10,576",40.86%,"2,476,967","19,215","4,552,242",20200824,8,17767.0,"17,767"
義大利,6號鬼病床,2020/08/07,威視股份有限公司,MINERVA PICTURES GROUP SRL,49,"9,664",9.35%,"2,160,153","18,502","4,144,125",20200810,8,16571.0,"16,571"
中華民國,哈囉少女,2020/08/07,台北双喜電影發行股份有限公司,幸福本色國際文創股份有限公司,78,"9,023",5.69%,"2,091,919","17,560","4,056,245",20200810,8,14218.0,"14,218"
美國,全面啟動10周年紀念版,2020/08/12,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,44,"9,689",-8.78%,"2,942,523","20,310","6,161,582",20200817,8,13102.0,"13,102"
