國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額,week,Month,tcnt,月累計票房
南韓,屍速列車：感染半島,2020/07/15,車庫娛樂股份有限公司,CONTENTS PANDA,61,"457,166",-19.13%,"113,349,275","1,022,441","254,292,911",20200720,7,672830.0,"672,830"
日本,角落小夥伴電影版：魔法繪本裡的新朋友,2020/07/03,威視股份有限公司,"ASMIK ACE, INC.",63,"74,151","8,931.79%","17,602,936","74,972","17,827,145",20200706,7,282989.0,"282,989"
中華民國,打噴嚏,2020/07/14,禾豐九路娛樂有限公司,禾豐九路娛樂有限公司##群星瑞智國際藝能股份有限公司##天下一電影製作有限公司,96,"69,172",-7.99%,"16,022,044","144,347","33,448,168",20200720,7,105194.0,"105,194"
南韓,翻供,2020/07/22,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,93,"45,606",30.80%,"10,527,288","88,732","20,332,096",20200727,7,45606.0,"45,606"
美國,1/2的魔法,2020/05/22,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",84,"12,232",-22.80%,"2,843,293","231,916","54,355,183",20200706,7,41188.0,"41,188"
美國,戰爭中的鬼故事,2020/07/03,采昌國際多媒體股份有限公司,Atrium Productions Kft.,70,"19,281",58.63%,"4,544,994","31,436","7,399,428",20200706,7,32903.0,"32,903"
中華民國,破處,2020/07/03,立正站好思維創意有限公司,展邁核創股份有限公司##立正站好思維創意有限公司##中環國際娛樂事業股份有限公司##BNB拔尼布無限工作坊,89,"20,328",-41.98%,"4,627,956","55,365","10,006,229",20200706,7,31705.0,"31,705"
日本,藍色恐懼：數位修復版,2020/07/17,光年映畫有限公司,MADHOUSE Inc.,32,"13,086",94.47%,"3,105,612","19,815","4,705,784",20200720,7,21236.0,"21,236"
美國,72小時前哨救援,2020/06/24,海樂影業股份有限公司,"MILLENNIUM MEDIA, INC.",79,"10,895",-41.77%,"2,488,139","64,132","14,736,784",20200706,7,19810.0,"19,810"
不丹,不丹是教室,2020/07/10,海鵬影業有限公司,HX Investment (HK) Limited,15,"3,823","2,448.67%","835,236","3,973","863,736",20200713,7,18608.0,"18,608"
泰國,鬼侍女,2020/07/03,海樂影業股份有限公司,"Hollywood (Thailand) Co.,Ltd",57,"8,967",20.48%,"2,012,304","16,410","3,692,211",20200706,7,15566.0,"15,566"
日本,阿基拉,2020/06/24,車庫娛樂股份有限公司,RELAY MOTION KFT.,36,"8,684",-30.34%,"2,540,857","34,712","10,083,712",20200706,7,14972.0,"14,972"
美國,天后小助理,2020/06/24,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,82,"5,739",-46.48%,"1,355,925","30,946","7,193,788",20200706,7,9170.0,"9,170"
香港,死因無可疑,2020/07/03,華映娛樂股份有限公司,英皇影業有限公司,47,"5,717",6.74%,"1,330,922","11,073","2,578,718",20200706,7,8509.0,"8,509"
英國,祕密花園,2020/07/08,車庫娛樂股份有限公司,STUDIOCANAL,57,"5,516",-30.16%,"1,281,384","13,414","3,111,341",20200713,7,7843.0,"7,843"
比利時,屍人診所,2020/07/24,車庫娛樂股份有限公司,RELAY MOTION KFT.,33,"6,782",1.30%,"1,596,055","13,477","3,179,823",20200727,7,6782.0,"6,782"
日本,賭博默示錄：最終遊戲,2020/07/03,車庫娛樂股份有限公司,NIPPON TELEVISION NETWORK CORPORATION,18,"3,964",12.55%,"947,573","7,486","1,799,662",20200706,7,6489.0,"6,489"
美國,壞教育,2020/04/30,香港商甲上娛樂有限公司台灣分公司,"Jellyfish Bloom International, LLC##Sight Unseen Pictures LLC",2,278,0.00%,"14,545","30,719","7,204,615",20200706,7,5207.0,"5,207"
印尼,人皮咒,2020/07/03,車庫娛樂股份有限公司,RELAY MOTION KFT.,35,"3,563",8.00%,"824,765","6,862","1,599,994",20200706,7,4756.0,"4,756"
南韓,屍速列車 特別版,2020/07/01,車庫娛樂股份有限公司,CONTENTS PANDA,57,"2,611",-40.14%,"653,962","6,973","1,721,367",20200706,7,4384.0,"4,384"
