國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額,week,Month,tcnt,月累計票房
日本,鬼滅之刃劇場版 無限列車篇,2020/10/30,木棉花國際股份有限公司,Aniplex Inc.,95,"657,115",33.67%,"157,767,910","1,148,701","275,413,022",20201102,11,1738179.0,"1,738,179"
中華民國,孤味,2020/11/06,彼此影業股份有限公司,彼此影業股份有限公司##秀泰國際娛樂有限公司##中環國際娛樂事業股份有限公司##Midori International Holdings Limited##威威巖娛樂製作有限公司,98,"123,483",103.56%,"28,532,249","200,611","46,606,100",20201109,11,576958.0,"576,958"
中華民國,同學麥娜絲,2020/11/20,甜蜜生活製作有限公司,甜蜜生活製作有限公司##華文創股份有限公司,75,"68,507",54.81%,"15,941,263","114,949","26,716,649",20201123,11,107665.0,"107,665"
中華民國,親愛的房客,2020/10/23,牽猴子整合行銷股份有限公司,一期一會影像製作有限公司,62,"19,518",-35.12%,"4,589,254","67,620","15,967,809",20201102,11,93028.0,"93,028"
美國,女巫們,2020/11/05,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,96,"48,933",-21.57%,"11,550,595","111,323","26,411,877",20201109,11,82754.0,"82,754"
中華民國,無聲,2020/10/15,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,財團法人公共電視文化事業基金會##氧氣電影有限公司##滿滿額娛樂股份有限公司##畢業生有限公司##英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,59,"29,814",-37.20%,"7,128,698","165,192","39,283,011",20201102,11,71382.0,"71,382"
中華民國,刻在你心底的名字,2020/09/30,氧氣電影有限公司,滿滿額娛樂股份有限公司##氧氣電影有限公司##百聿數碼創意股份有限公司##中環國際娛樂事業股份有限公司##三皇生物科技股份有限公司,95,"17,448",-40.82%,"4,130,803","390,001","91,482,323",20201102,11,53146.0,"53,146"
日本,名偵探柯南：紅之校外旅行 鮮紅篇&戀紅篇,2020/11/20,曼迪傳播有限公司,YOMIURI TELECASTING CORPORATION,58,"30,806",-13.04%,"7,285,186","66,231","15,691,656",20201123,11,49446.0,"49,446"
中華民國,消失的情人節,2020/09/18,華文創股份有限公司,華文創股份有限公司##影一製作所股份有限公司##美商華納兄弟（遠東）股份有限公司台灣分公司##國賓影城股份有限公司##威像電影有限公司,44,"1,380",-56.78%,"311,420","99,181","22,973,080",20201102,11,31725.0,"31,725"
美國,古魯家族：新石代,2020/11/27,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,92,"24,575",-5.09%,"5,524,031","50,467","11,438,727",20201130,11,24575.0,"24,575"
美國,換人殺砍砍,2020/11/13,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,94,"16,340",3.23%,"3,782,875","32,169","7,457,469",20201116,11,22515.0,"22,515"
日本,尋找小魔女Doremi,2020/11/27,薩摩亞商雄讚股份有限公司台灣分公司,"TOEI ANIMATION CO., LTD.",83,"20,936",-7.17%,"4,924,059","43,488","10,286,528",20201130,11,20936.0,"20,936"
南韓,盜墓同盟,2020/11/20,英屬維京群島商高捷全球開發有限公司 台灣分公司,"CJ ENM CO., LTD",55,"11,594",-4.78%,"2,701,416","23,770","5,579,872",20201123,11,15115.0,"15,115"
日本,GIVEN~被贈與的未來 劇場版,2020/11/06,水元素文化傳媒有限公司,SPO Entertainment Inc.,17,"4,957",-4.42%,"1,226,473","10,493","2,615,415",20201109,11,12225.0,"12,225"
美國,逃,2020/11/20,車庫娛樂股份有限公司,LIONS GATE INTERNATIONAL (UK) LIMITED,52,"8,251",-16.82%,"1,968,010","18,171","4,378,933",20201123,11,10050.0,"10,050"
美國,愛麗絲與夢幻島,2020/11/12,香港商甲上娛樂有限公司台灣分公司,"CAPSTONE GROUP , LLC",80,"7,386",-41.80%,"1,709,564","20,077","4,670,042",20201116,11,8916.0,"8,916"
美國,藥命時空,2020/11/06,車庫娛樂股份有限公司,"EXCELLENT ADVENTURES PRODUCTIONS, LLC",52,"6,484",-26.78%,"1,536,774","15,339","3,684,769",20201109,11,7714.0,"7,714"
日本,海邊的異邦人,2020/11/13,采昌國際多媒體股份有限公司,SPO Entertainment Inc.,61,"5,223",-14.63%,"1,263,342","11,721","2,831,323",20201116,11,7594.0,"7,594"
中華民國,十二夜2：回到第零天,2020/11/27,牽猴子整合行銷股份有限公司,縫影子宇宙有限公司##牽猴子整合行銷股份有限公司##貝殼放大股份有限公司,70,"5,837",31.58%,"1,281,341","10,527","2,347,760",20201130,11,5837.0,"5,837"
日本,感官世界,2020/10/30,傳影互動股份有限公司,ARGOS FILMS SA,26,"3,108",7.84%,"699,363","5,990","1,383,391",20201102,11,5613.0,"5,613"
