國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額,week,Month,tcnt,mcnt,月累計票房,月累積金額
中華民國,刻在你心底的名字,2020/09/30,氧氣電影有限公司,滿滿額娛樂股份有限公司##氧氣電影有限公司##百聿數碼創意股份有限公司##中環國際娛樂事業股份有限公司##三皇生物科技股份有限公司,103,"99,578",-1.85%,"23,295,073","227,560","53,224,107",20201005,10,244572.0,57422696.0,"244,572","57,422,696"
美國,倒數反擊,2020/10/08,威視股份有限公司,"Honest Thief Productions, LLC",95,"60,237",-34.02%,"14,185,016","151,536","35,589,884",20201012,10,103747.0,24456272.0,"103,747","24,456,272"
中華民國,無聲,2020/10/15,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,財團法人公共電視文化事業基金會##氧氣電影有限公司##滿滿額娛樂股份有限公司##畢業生有限公司##英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,58,"55,660",72.63%,"13,207,954","87,902","20,868,776",20201019,10,103136.0,24493491.0,"103,136","24,493,491"
美國,TENET天能,2020/08/27,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,99,"40,142",-45.03%,"10,140,790","1,340,342","338,514,762",20201005,10,78997.0,20055001.0,"78,997","20,055,001"
日本,電影哆啦A夢：大雄的新恐龍,2020/09/25,車庫娛樂股份有限公司,"TOHO CO., LTD.",56,"34,476",-42.24%,"8,118,347","127,972","30,093,609",20201005,10,60202.0,14123546.0,"60,202","14,123,546"
日本,紫羅蘭永恆花園電影版,2020/09/30,采昌國際多媒體股份有限公司,"ABC Animation,INC.",42,"29,229",-40.88%,"7,289,679","78,666","19,556,186",20201005,10,55168.0,13761114.0,"55,168","13,761,114"
中華民國,消失的情人節,2020/09/18,華文創股份有限公司,華文創股份有限公司##影一製作所股份有限公司##美商華納兄弟（遠東）股份有限公司台灣分公司##國賓影城股份有限公司##威像電影有限公司,99,"19,066",-19.03%,"4,418,386","78,104","18,058,248",20201005,10,38763.0,9021798.0,"38,763","9,021,798"
美國,阿公當家,2020/09/30,香港商甲上娛樂有限公司台灣分公司,"MARRO WWG,LLC",88,"22,403",-41.94%,"5,142,790","60,991","14,027,758",20201005,10,35105.0,8045913.0,"35,105","8,045,913"
中華民國,親愛的房客,2020/10/23,牽猴子整合行銷股份有限公司,一期一會影像製作有限公司,63,"30,081",66.92%,"7,072,641","48,102","11,378,555",20201026,10,30081.0,7072641.0,"30,081","7,072,641"
中華民國,馗降：粽邪2,2020/08/20,華影國際影藝有限公司,華影國際影藝有限公司##麻吉砥加電影有限公司##滿滿額娛樂股份有限公司##聯聯看娛樂文化股份有限公司##識富天使會,84,"10,314",-48.46%,"2,264,786","308,683","70,140,107",20201005,10,18480.0,4073059.0,"18,480","4,073,059"
俄羅斯,遺落夢境,2020/09/30,車庫娛樂股份有限公司,RELAY MOTION KFT.,50,"11,146",-54.73%,"2,662,931","35,767","8,566,162",20201005,10,14539.0,3498786.0,"14,539","3,498,786"
日本,工作細胞!!特別上映版 強『菌』來襲！人體腸道大騷動!,2020/10/08,木棉花國際股份有限公司,KODANSHA LTD.,62,"8,634",-43.56%,"2,005,804","23,932","5,574,601",20201012,10,13263.0,3091272.0,"13,263","3,091,272"
美國,奪命守門人,2020/10/16,薩摩亞商雄讚股份有限公司台灣分公司,Doorman INC.,90,"8,408",-31.61%,"1,859,181","20,703","4,630,210",20201019,10,10145.0,2235951.0,"10,145","2,235,951"
美國,星際效應,2020/10/08,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,38,"10,107",-20.86%,"3,185,719","22,878","7,145,089",20201012,10,10107.0,3185719.0,"10,107","3,185,719"
法國,森林特攻隊：大腳丫家族,2020/09/30,可樂藝術文創股份有限公司,Charades,73,"5,648",-55.67%,"1,223,032","18,389","4,047,061",20201005,10,9776.0,2068370.0,"9,776","2,068,370"
日本,看不見的目擊者,2020/10/16,華映娛樂股份有限公司,"MOONWATCHER Co., Ltd",53,"6,952",15.44%,"1,571,806","12,974","2,947,125",20201019,10,9379.0,2121335.0,"9,379","2,121,335"
南韓,整容液,2020/09/18,采昌國際多媒體股份有限公司,FREEWAY ENTERTAINMENT KFT.,58,"5,559",-60.17%,"1,317,994","65,020","15,569,480",20201005,10,8742.0,2069245.0,"8,742","2,069,245"
中華民國,本來面目,2020/09/05,牽猴子整合行銷股份有限公司,財團法人聖嚴教育基金會,14,"3,513",43.56%,"794,566","32,053","7,201,242",20201005,10,8664.0,1913686.0,"8,664","1,913,686"
美國,綁票追殺令,2020/10/23,采昌國際多媒體股份有限公司,Atrium Productions Kft.,71,"8,235",-25.53%,"1,845,324","19,293","4,401,082",20201026,10,8235.0,1845324.0,"8,235","1,845,324"
中華民國,千年一問,2020/10/08,牽猴子整合行銷股份有限公司,郭慧敏（曼迪傳播有限公司）##鍾孟舜##李俊樑,28,"3,999",19.41%,"931,743","7,348","1,727,644",20201012,10,8225.0,1870825.0,"8,225","1,870,825"
