國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額,week,Month,tcnt,mcnt,月累計票房,月累積金額
日本,數碼寶貝 LAST EVOLUTION 絆,2020/04/24,曼迪傳播有限公司,"TOEI ANIMATION CO., LTD.",16,"21,353",-1.74%,"5,399,532","51,685","13,116,005",20200504,5,59018.0,15052492.0,"59,018","15,052,492"
美國,1/2的魔法,2020/05/22,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",89,"49,196",53.83%,"11,525,784","81,177","19,054,751",20200525,5,49196.0,11525784.0,"49,196","11,525,784"
美國,壞教育,2020/04/30,香港商甲上娛樂有限公司台灣分公司,"Jellyfish Bloom International, LLC##Sight Unseen Pictures LLC",62,"8,815",-12.87%,"2,069,689","18,932","4,431,988",20200504,5,19623.0,4652813.0,"19,623","4,652,813"
泰國,見鬼的戀愛季節,2020/04/30,英屬維京群島商高捷全球開發有限公司 台灣分公司,"Sahamongkolfilm International Co.,Ltd.",62,"7,213",3.55%,"1,619,355","14,179","3,183,085",20200504,5,17817.0,3987214.0,"17,817","3,987,214"
挪威,奪命隧道,2020/05/15,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,Trustnordisk APS,69,"10,486",10.38%,"2,404,165","19,986","4,584,317",20200518,5,15012.0,3430498.0,"15,012","3,430,498"
美國,鎖命佈局,2020/04/30,采昌國際多媒體股份有限公司,Atrium Productions Kft.,70,"6,291",-0.44%,"1,454,779","12,610","2,906,573",20200504,5,13284.0,3101240.0,"13,284","3,101,240"
南韓,靈異405號房,2020/05/15,車庫娛樂股份有限公司,CONTENTS PANDA,52,"6,949",6.73%,"1,654,448","13,460","3,213,644",20200518,5,10319.0,2452197.0,"10,319","2,452,197"
德國,抽屍剝繭,2020/04/30,海鵬影業有限公司,GLOBAL SCREEN GMBH,56,"4,182",10.78%,"926,927","7,957","1,766,366",20200504,5,9454.0,2088758.0,"9,454","2,088,758"
俄羅斯,黑暗戰域,2020/05/08,車庫娛樂股份有限公司,CENTRAL PARTNERSHIP SALES HOUSE,53,"4,916",-7.72%,"1,140,519","10,243","2,368,202",20200511,5,6543.0,1514372.0,"6,543","1,514,372"
泰國,奇蹟救援,2020/05/15,車庫娛樂股份有限公司,E-STARS FILMS LTD.,49,"4,741",7.63%,"1,113,733","9,146","2,141,644",20200518,5,6316.0,1483738.0,"6,316","1,483,738"
南韓,流感,2020/04/30,車庫娛樂股份有限公司,RELAY MOTION KFT.,36,"3,406",-8.24%,"785,836","7,118","1,642,328",20200504,5,6203.0,1429719.0,"6,203","1,429,719"
日本,我的英雄學院劇場版：英雄新世紀,2020/04/01,薩摩亞商羚邦(亞洲)有限公司台灣分公司,"Toho Co., Ltd.",54,"1,961",-37.69%,"506,265","56,552","13,795,766",20200504,5,5834.0,1488122.0,"5,834","1,488,122"
日本,來自深淵 深沉靈魂的黎明,2020/04/10,向洋影業有限公司,株式会社KADOKAWA,17,"1,270",-38.80%,"321,942","18,076","4,536,940",20200504,5,5616.0,1909669.0,"5,616","1,909,669"
美國,惡夜救援,2020/05/22,采昌國際多媒體股份有限公司,Atrium Productions Kft.,76,"5,427",-22.34%,"1,211,569","12,415","2,802,459",20200525,5,5427.0,1211569.0,"5,427","1,211,569"
日本,劇場版 白箱,2020/05/08,車庫娛樂股份有限公司,HAKUHODO DY MUSIC & PICTURES INC.,22,"3,221",10.01%,"802,631","6,149","1,535,248",20200511,5,5120.0,1286387.0,"5,120","1,286,387"
法國,美好拾光公司,2020/04/24,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,Pathe Films S.A.S.,26,"1,919",-28.58%,"447,097","6,396","1,469,661",20200504,5,5052.0,1183134.0,"5,052","1,183,134"
印尼,蜈蚣降,2020/04/24,車庫娛樂股份有限公司,RELAY MOTION KFT.,42,"2,537",-53.53%,"597,506","12,456","2,901,458",20200504,5,4873.0,1149520.0,"4,873","1,149,520"
瑞典,全境入侵,2020/05/22,車庫娛樂股份有限公司,AB SVENSK FILMINDUSTRI,45,"3,811",-13.76%,"895,300","8,230","1,944,343",20200525,5,3811.0,895300.0,"3,811","895,300"
巴拉圭,現屍報,2020/04/30,可樂藝術文創股份有限公司,ATRIUM Productions Kft.,51,"1,742",-25.87%,"390,811","4,092","910,432",20200504,5,3134.0,697005.0,"3,134","697,005"
日本,靠北少女,2020/05/22,薩摩亞商雄讚股份有限公司台灣分公司,"Shochiku Co., Ltd.",49,"3,057",16.72%,"695,876","5,676","1,288,111",20200525,5,3057.0,695876.0,"3,057","695,876"
