國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額,week,Month,tcnt,mcnt,月累計票房,月累積金額
美國,1917,2020/01/30,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,99,"87,858",11.05%,"21,348,303","166,977","40,909,261",20200203,2,142758.0,35062576.0,"142,758","35,062,576"
美國,猛禽小隊: 小丑女大解放,2020/02/06,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,98,"9,471",-17.46%,"2,269,458","388,168","92,963,354",20200210,2,102018.0,24317150.0,"102,018","24,317,150"
南韓,"超""人""氣動物園",2020/02/14,車庫娛樂股份有限公司,"FINECUT CO., LTD.",65,"52,942",-5.29%,"12,307,327","108,842","25,309,761",20200217,2,75611.0,17646007.0,"75,611","17,646,007"
美國,逃出夢幻島,2020/02/14,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,96,"36,039",-19.40%,"8,220,181","80,751","18,461,050",20200217,2,50358.0,10985240.0,"50,358","10,985,240"
美國,絕地戰警FOR LIFE,2020/01/16,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,98,"37,091",-73.99%,"8,773,439","543,236","129,956,225",20200203,2,46565.0,11000712.0,"46,565","11,000,712"
美國,杜立德,2020/01/23,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,100,"37,776",-73.28%,"8,867,550","290,095","69,800,705",20200203,2,45757.0,10735836.0,"45,757","10,735,836"
美國,音速小子,2020/02/21,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,98,"42,897",1.81%,"10,036,408","85,030","19,951,376",20200224,2,42897.0,10036408.0,"42,897","10,036,408"
美國,她們,2020/01/22,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,49,"15,665",-46.80%,"3,712,979","67,126","15,964,740",20200203,2,26114.0,6212192.0,"26,114","6,212,192"
中華民國,你的情歌,2020/01/02,香港商甲上娛樂有限公司台灣分公司,奇想事企業有限公司##能率影業股份有限公司##香港商甲上娛樂有限公司台灣分公司 ##采昌國際多媒體股份有限公司  ##英屬維京群島商敦宜股份有限公司台灣分公司,67,"17,141",-42.12%,"3,994,406","61,590","14,470,784",20200203,2,25823.0,6025215.0,"25,823","6,025,215"
美國,變身特務,2020/01/22,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",98,"19,659",-74.75%,"4,453,321","167,411","38,275,464",20200203,2,23574.0,5346676.0,"23,574","5,346,676"
美國,深海終劫站,2020/01/22,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",93,"19,140",-74.90%,"4,338,303","167,027","38,176,037",20200203,2,21682.0,4892585.0,"21,682","4,892,585"
美國,紳士追殺令,2020/01/23,車庫娛樂股份有限公司,"MIRAMAX DISTRIBUTION SERVICES, LLC",63,"12,195",-72.04%,"2,921,382","84,559","20,301,783",20200203,2,14969.0,3617479.0,"14,969","3,617,479"
南韓,陰櫥,2020/02/21,車庫娛樂股份有限公司,"CJ ENM CO., LTD.",48,"12,797",-10.69%,"2,996,107","27,126","6,375,053",20200224,2,12797.0,2996107.0,"12,797","2,996,107"
美國,李察朱威爾事件,2020/02/21,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,82,"11,639",6.55%,"2,648,692","22,562","5,118,110",20200224,2,11639.0,2648692.0,"11,639","2,648,692"
越南,古曼童,2020/02/07,車庫娛樂股份有限公司,"SKYLINE MEDIA CO., LTD",34,"1,193",-11.83%,"273,115","39,133","9,051,627",20200210,2,10072.0,2335795.0,"10,072","2,335,795"
南韓,紅鞋公主與七矮人,2020/01/30,可樂藝術文創股份有限公司,"FINECUT CO., LTD",44,"7,314",-13.52%,"1,690,822","15,883","3,674,938",20200203,2,9841.0,2269796.0,"9,841","2,269,796"
美國,雨天 . 紐約,2020/02/14,香港商甲上娛樂有限公司台灣分公司,Krisolta Film & TV (UK) LIMITED,27,"4,119",-8.59%,"947,593","8,625","2,009,546",20200217,2,5659.0,1295650.0,"5,659","1,295,650"
美國,黑水風暴,2020/01/30,車庫娛樂股份有限公司,"STORYTELLER DISTRIBUTION CO., LLC",49,"4,145",-27.99%,"950,549","9,901","2,290,359",20200203,2,4527.0,1036049.0,"4,527","1,036,049"
香港,肥龍過江,2020/01/23,華映娛樂股份有限公司,星王朝有限公司##上海博納文化傳媒有限公司##博納影業集團股份有限公司##上海新文化影業有限公司##電視廣播有限公司##太陽娛樂文化有限公司##上海杠杠影視文化有限公司##霍爾果斯環星影視傳媒有限公司##上海優創影視文化有限公司,93,"3,708",-86.91%,"813,588","60,341","13,373,472",20200203,2,3767.0,827078.0,"3,767","827,078"
日本,殺不了的他和死不了的她,2020/02/14,威視股份有限公司,KADOKAWA CORPORATION,21,"2,622",-19.50%,"621,026","5,879","1,404,898",20200217,2,3289.0,778364.0,"3,289","778,364"
