國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額,week,Month,tcnt,mcnt,月累計票房,月累積金額
美國,TENET天能,2020/08/27,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,99,"138,379",-47.49%,"35,187,483","1,138,728","287,155,492",20200914,9,563435.0,142974515.0,"563,435","142,974,515"
中華民國,馗降：粽邪2,2020/08/20,華影國際影藝有限公司,華影國際影藝有限公司##麻吉砥加電影有限公司##滿滿額娛樂股份有限公司##聯聯看娛樂文化股份有限公司##識富天使會,98,"48,602",-46.47%,"11,067,199","251,539","57,236,674",20200914,9,186277.0,42390542.0,"186,277","42,390,542"
美國,花木蘭,2020/09/04,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL,INC.",99,"35,242",-65.32%,"8,199,963","281,159","65,614,985",20200914,9,160667.0,37357259.0,"160,667","37,357,259"
南韓,特務搞飛機,2020/09/11,采昌國際多媒體股份有限公司,FREEWAY ENTERTAINMENT KFT.,63,"37,463",23.03%,"8,795,843","74,214","17,448,291",20200914,9,71626.0,16922064.0,"71,626","16,922,064"
日本,電影哆啦A夢：大雄的新恐龍,2020/09/25,車庫娛樂股份有限公司,"TOHO CO., LTD.",55,"59,688",76.55%,"14,051,575","93,496","21,975,262",20200928,9,59688.0,14051575.0,"59,688","14,051,575"
中華民國,可不可以，你也剛好喜歡我,2020/03/12,華映娛樂股份有限公司,華映娛樂股份有限公司##中環國際娛樂事業股份有限公司##星泰國際娛樂股份有限公司##樂到家國際娛樂股份有限公司##新線索(北京)影視投資有限公司##艾迪昇傳播事業有限公司##滿滿額娛樂股份有限公司##百聿數碼創意股份有限公司##馬棋朵數位影像製作有限公司,89,"13,867",-53.29%,"3,197,856","323,499","75,260,799",20200914,9,54717.0,12649709.0,"54,717","12,649,709"
中華民國,消失的情人節,2020/09/18,華文創股份有限公司,華文創股份有限公司##影一製作所股份有限公司##美商華納兄弟（遠東）股份有限公司台灣分公司##國賓影城股份有限公司##威像電影有限公司,100,"20,607",38.45%,"4,749,142","35,491","8,202,560",20200921,9,44154.0,10186444.0,"44,154","10,186,444"
南韓,整容液,2020/09/18,采昌國際多媒體股份有限公司,FREEWAY ENTERTAINMENT KFT.,60,"24,609",17.81%,"5,872,740","45,497","10,924,073",20200921,9,38565.0,9198338.0,"38,565","9,198,338"
日本,蠟筆小新電影 激戰!塗鴉王國與差不多四勇者,2020/09/11,木棉花國際股份有限公司,ADK EMOTIOS INC.,57,"19,574",-21.63%,"4,504,448","44,549","10,261,547",20200914,9,37474.0,8572172.0,"37,474","8,572,172"
中華民國,海霧,2020/09/11,海樂影業股份有限公司,"松露文化創意有限公司,愛奇藝電影集團香港有限公司,台灣太陽娛樂有限公司,非凡娛樂製作有限公司,兔將創意影業股份有限公司",85,"17,162",-26.36%,"3,894,800","40,467","9,264,059",20200914,9,26003.0,5879104.0,"26,003","5,879,104"
中華民國,本來面目,2020/09/05,牽猴子整合行銷股份有限公司,財團法人聖嚴教育基金會,11,"5,947",6.46%,"1,266,170","23,689","5,283,610",20200914,9,16267.0,3602466.0,"16,267","3,602,466"
新加坡,初心,2020/08/21,牽猴子整合行銷股份有限公司,AMOK PTE. LTD,22,"4,543",-12.94%,"1,039,918","36,167","8,443,711",20200914,9,15671.0,3565354.0,"15,671","3,565,354"
美國,重裝救援：全境獵殺,2020/09/18,車庫娛樂股份有限公司,RELAY MOTION KFT.,52,"9,362",-11.56%,"2,177,017","19,948","4,633,178",20200921,9,11403.0,2650129.0,"11,403","2,650,129"
美國,天劫倒數,2020/08/12,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,"STX Productions, LLC",41,"2,100",-71.84%,"502,674","360,845","86,906,934",20200914,9,10580.0,2517947.0,"10,580","2,517,947"
日本,Fate_stay night [Heaven's Feel] Ⅲ春櫻之歌,2020/08/15,曼迪傳播有限公司,Aniplex Inc.,10,"3,056",-41.09%,"1,317,852","88,637","23,962,071",20200914,9,10431.0,4266319.0,"10,431","4,266,319"
美國,顫役輪迴,2020/09/11,車庫娛樂股份有限公司,LIONS GATE INTERNATIONAL (UK) LIMITED,53,"7,611",-32.53%,"1,798,786","18,891","4,507,907",20200914,9,9523.0,2255714.0,"9,523","2,255,714"
中華民國,怪胎,2020/08/05,牽猴子整合行銷股份有限公司,牽猴子整合行銷股份有限公司##滿滿額娛樂股份有限公司##台灣大哥大股份有限公司,28,"1,863",-64.36%,"427,855","191,140","44,450,051",20200914,9,8321.0,1964652.0,"8,321","1,964,652"
美國,變種人,2020/08/27,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",45,"1,095",-83.76%,"254,271","79,328","18,302,835",20200914,9,8165.0,1910121.0,"8,165","1,910,121"
香港,麥路人,2020/09/17,華映娛樂股份有限公司,寰亞電影製作有限公司##無限動力實業有限公司##北京拉近影業有限公司##寰亞電影發行(北京）有限公司##中影寰亞音像製品有限公司##墨客行影業（北京）有限公司##雅美星有限公司##霍爾果斯泰洋川禾文化傳媒有限公司##百代環球(北京)國際資產管理有限公司##北京林夕影業有限公司##北京大美寰宇影業有限公司##星光聯盟影業無錫有限公司,59,"5,453",-26.74%,"1,228,278","13,352","3,016,883",20200921,9,7991.0,1794036.0,"7,991","1,794,036"
美國,密弒直播,2020/09/11,威視股份有限公司,"MELVILLE FILMS, INC.",48,"5,154",-15.26%,"1,157,121","11,236","2,549,687",20200914,9,7523.0,1677861.0,"7,523","1,677,861"
